,invariant,thermoelectric,hysteresis,noninvariant,temperature_induced_phase_change,electrocaloric,magnetocaloric,barocaloric,elastocaloric
(C10H21NH3)2CuCl4,1,,,,1,,,,
(C11H23NH3)2CuCl4,1,,,,1,,,,
(C12H28N)2CuCl4,1,,,,1,,,,
(C14H29NH3)2CuCl4,1,,,,1,,,,
(C15H31NH3)2CuCl4,1,,,,1,,,,
1_Cl_apc,1,,,,,,,,
Acetone,1,,,,,,,,
Ag,1,,,,,,,,
Air,1,,,,,,,,
Al,1,,,,,,,,
Al2O3,1,,,,,,,,
Ammonia,1,,,,,,,,
Ar,1,,,,,,,,
Be,1,,,,,,,,
Bi,1,,,,,,,,
Cu,1,,,,,,,,
Cu-Al-Ni,1,,,,,,,,1
CuO,1,,,,,,,,
Diamond,1,,,,,,,,
Ethanol,1,,,,,,,,
Fe,1,,,,,,,,
Fe49Rh51,1,,,,,,1,,
fullerite_C60,1,,,,,,,1,
Ga,1,,,,,,1,,
Gd,1,,,,,,1,,
Ge,1,,,,,,,,
Graphene,1,,,,,,,,
Graphite,1,,,,,,,,
H,1,,,,,,,,
He,1,,,,,,,,
Hg,1,,,,,,,,
In,1,,,,,,,,
InAs,1,,,,,,,,
La(Fe-Mn0.06-Si)13-H,1,,,,,,1,,
La(Fe-Mn0.46-Si)13-H,1,,,,,,1,,
LaFeCoSi11,1,,,,,,1,,
LaFeCoSi15,1,,,,,,1,,
LaFeCoSi5,1,,,,,,1,,
LaFeCoSi_vac10,1,,,,,,1,,
LaFeCoSi_vac15,1,,,,,,1,,
LaFeCoSi_vac20,1,,,,,,1,,
LaFeCoSi_vac25,1,,,,,,1,,
LaFeCoSi_vac30,1,,,,,,1,,
LaFeCoSi_vac35,1,,,,,,1,,
LaFeCoSi_vac5,1,,,,,,1,,
Methanol,1,,,,,,,,
MnCoGeB,1,,,,,,,1,
MoS2,1,,,,,,,,
N,1,,,,,,,,
n-Hexane,1,,,,,,,,
NaCl,1,,,,,,,,
Ne,1,,,,,,,,
Ni49Ti51_68por,1,,,,,,,,1
Ni49Ti51_dense,1,,,,,,,,1
Ni50.75Ti_d1,1,,,,,,,,1
Ni50.75Ti_d2,1,,,,,,,,1
Ni50.75Ti_d5,1,,,,,,,,1
NiMnTiB,1,,,,,,,1,
NiTi_wire,1,,,,,,,,1
Nitrogen,1,,,,,,,,
NPG_plastic_crystal,1,,,,,,,1,
P(VDF_TrFE)(55_45),1,,,,,1,,,
P(VDF_TrFE_CFE)(59.3_33.6_7.2),1,,,,,1,,,
Pb,1,,,,,,,,
PbTiO3,1,,,,,,,,
PMN,1,,,,,1,,,
PMN-10PT,1,,,,,1,,,
PMN-30PT,1,,,,,1,,,
PMN-35PT,1,,,,,1,,,
PTFE,1,,,,,,,,
Si,1,,,,,,,,
Sn,1,,,,,,,,
superionic_conductor_Agl,1,,,,,,,1,
Thin_film_NiTi,1,,,,,,,,1
TiNi44Cu5Al1,1,,,,,,,,1
TiO2_anatase,1,,,,,,,,
TiO2_rutile,1,,,,,,,,
Trinuclear_Spin-Crossover_Complex,1,,,,,,,1,
VO2,1,,,,,,,,
Water,1,,,,,,,,
test_inox,1,,,,,,,,
