Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Specific heat capacity (J/kg/K)

0	0
4.77	0
28.17	15.14
41.17	50.96
54.17	97.01
69.77	152.02
80.17	199.35
100.98	265.87
116.58	327.27
137.38	386.12
150.38	434.73
171.18	485.9
184.18	531.95
210.18	594.63
233.59	639.41
259.59	670.11
285.59	708.49
321.99	735.35
379.2	798.03
426	827.46
493.61	854.32
569.01	869.67
641.82	879.91
709.43	886.3
795.23	896.54
901.84	902.93
1000.65	909.33
1094.26	920.84
1190.47	925.96
1294.47	936.19
1401.08	938.75
1497.29	940.03
1583.1	941.31
1681.91	936.19
1783.32	928.52
1876.92	920.84
1973.13	911.89
