Data from https://www.engineeringtoolbox.com/stainless-steel-310-properties-d_2167.html (10. 7. 2023)

Temperature (K)	Density (kg/m^3)
155.8493	7874.8149
190.2253	7864.6395
215.4629	7856.3163
241.2036	7847.5832
268.0707	7838.6472
294.0515	7829.2303
323.3007	7818.803
348.7275	7808.9904
375.4838	7798.9344
408.0568	7786.6626
438.5939	7775.1578
461.5694	7765.0847
487.4533	7755.0883
517.6996	7743.0722
541.8384	7733.6127
567.4314	7723.514
596.1266	7710.9866
618.8501	7701.885
649.6947	7689.3648
675.8786	7679.0572
708.7747	7664.3282
733.269	7655.1954
759.379	7643.4917
782.3546	7634.0322
816.7694	7619.5163
840.8114	7609.4654
867.335	7597.3703
891.9974	7586.9672
919.917	7575.8265
944.5794	7563.3161
974.8257	7550.8398
999.7207	7538.3635
1024.6157	7527.1887
1051.5382	7514.9302
1074.8711	7504.0025
1102.4288	7491.9125
1125.4367	7481.0042
1152.5808	7467.7666
1180.2419	7456.0061
1207.9031	7442.4845
1233.1406	7430.1417
1259.3734	7416.4637
1273.5659	7410.3278
