Data from https://www.engineeringtoolbox.com/stainless-steel-310-properties-d_2167.html (10. 7. 2023)

Temperature (K)	Specific heat capacity (J/kg/K)
150.1363	382.5711
159.5216	398.1507
170.5618	412.2323
183.6044	425.4282
209.1719	444.6671
233.5831	458.3412
258.2628	471.0321
280.3734	478.7337
316.0903	489.2641
339.5202	495.0368
369.4007	501.4383
397.5207	507.8244
423.3025	513.0288
447.2221	516.2153
471.3813	518.7891
500.0233	522.7607
527.424	526.7912
554.6222	530.9968
581.1927	535.4069
605.814	538.9106
634.3399	543.4331
663.2607	547.5018
690.6217	550.8907
721.7723	555.7035
759.7952	560.837
794.1899	565.3565
818.6432	570.3348
845.0658	580.3027
872.1109	590.724
902.5342	598.0002
928.1033	601.8112
957.8094	605.5165
983.6124	608.0215
1028.1837	612.0142
1055.8588	615.2668
1081.1864	618.5206
1106.7477	621.9104
1132.9296	625.9804
1159.4975	630.7308
1187.6197	636.8414
1213.9732	643.9738
1238.5021	648.5794
1261.4375	653.2505
