Data is combined from https://www.engineeringtoolbox.com/stainless-steel-310-properties-d_2167.html (10. 7. 2023)
and from
@book{hust1975thermal,
  title={Thermal Conductivity and Electrical Resistivity Standard Reference Materials: Austenitic Stainless Steel, SRM's 735 and 798, from 4 to 1200 K; Standard Reference Materials},
  author={Hust, J.G. and Giarratano, P.J.},
  url={https://books.google.si/books?id=tg50wwEACAAJ},
  year={1975}
}

RANGE:5-1273 K

Temperature(K)	Thermal conductivity (W/m/K)
5.0000	0.4660
6.0000	0.5650
7.0000	0.6760
8.0000	0.7960
9.0000	0.9210
10.0000	1.0500
12.0000	1.3200
14.0000	1.5800
16.0000	1.8600
18.0000	2.1300
20.0000	2.4000
25.0000	3.0700
30.0000	3.7200
35.0000	4.3400
40.0000	4.9200
45.0000	5.4700
50.0000	5.9800
55.0000	6.4500
56.6845	6.7623
74.8663	7.5820
90.9091	8.3197
108.0214	8.9344
124.0642	9.5492
146.5241	10.0410
168.9840	10.6557
190.3743	11.1885
214.9733	11.6393
233.1551	12.1311
258.8235	12.5410
281.2834	12.9918
302.6738	13.3607
326.2032	13.8115
357.2193	14.2623
383.9572	14.8361
406.4171	15.0820
428.8770	15.4508
457.7540	15.8197
483.4225	16.2295
510.1604	16.5574
531.5508	16.8033
573.1500	17.3000
623.1500	18.0000
673.1500	18.8000
723.1500	19.4000
773.1500	20.1000
823.1500	20.9000
873.1500	22.2000
923.1500	23.0000
973.1500	23.7000
1023.1500	24.0000
1073.1500	24.5000
1123.1500	25.2000
1173.1500	26.0000
1223.1500	26.9000
1273.1500	27.7000
