Data from NIST on 21. 1. 2022
https://trc.nist.gov/MetalsAlloyUI/
Temperature(K)	Density(kg/m3)

275.8	7889.36
324.95	7880.08
362.41	7872.06
399.86	7864.9
445.51	7855.62
484.13	7848.03
520.41	7840.86
557.87	7832.84
597.66	7825.25
643.31	7814.71
681.93	7806.7
721.72	7796.15
761.52	7786.88
807.16	7776.33
846.96	7765.79
886.75	7756.09
927.72	7744.28
966.34	7733.74
996.77	7724.04
1036.56	7712.23
1069.34	7702.95
1104.45	7691.57
1139.56	7680.6
1171.16	7669.64
1207.44	7658.67
1239.04	7646.86
1268.31	7637.58
1298.74	7625.35
1337.36	7612.28
1371.3	7599.63
1402.9	7588.66
1440.36	7575.17
1466.1	7563.78
1502.39	7549.87
1526.97	7538.48
1555.06	7525.4
1579.63	7516.13
1600.7	7500.1
1603.04	7409.01
1622.94	7398.89
1649.86	7386.66
1672.1	7376.54
1699.02	7363.04
1727.11	7350.39
1757.54	7335.21
1783.29	7322.55
1804.35	7312.43
1830.1	7298.94
1855.85	7286.29
1881.6	7276.16
1903.84	7265.62
1926.08	7256.34

