Data from NIST on 21. 1. 2022
https://trc.nist.gov/MetalsAlloyUI/
Temperature(K)	Thermal conductivity(W/m/K)

1.7	3.52
2.52	5.06
3.89	6.59
5.26	8.23
6.63	10.35
7.45	12.34
8.82	13.55
10.19	15.68
11.01	17.54
12.65	19.39
14.3	20.9
16.49	22.22
19.77	23.08
23.33	23.06
26.89	22.83
29.91	22.25
32.92	21.57
35.93	20.74
38.12	19.72
41.68	18.86
45.52	18.09
50.45	17.49
55.65	16.79
62.5	16.19
69.07	15.63
76.74	15.08
83.58	14.64
92.07	14.31
99.74	13.94
110.15	13.59
120.01	13.2
129.32	12.87
138.36	12.69
146.57	12.34
157.25	12.09
167.39	11.88
181.08	11.62
196.96	11.27
209.29	11.06
222.98	10.83
234.76	10.67
244.89	10.58
254.75	10.58
265.7	10.58
274.47	10.6
282.68	10.65
290.9	10.76
298.84	10.97
306.78	11.18
314.45	11.27
325.41	11.6
