Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Specific heat capacity (J/kg/K)

0.0	0.0
1	0.29
3.65	3.86
5.32	8.87
7.31	14.45
9.3	19.46
11.63	25.33
12.96	29.91
14.62	35.64
17.28	42.51
19.93	49.38
22.26	55.1
23.26	59.97
24.92	65.12
27.91	71.13
31.56	77.86
34.88	83.29
38.87	89.16
43.85	95.89
50.17	101.76
57.81	107.34
65.12	111.49
76.41	115.78
88.04	118.36
100.33	121.65
111.63	123.8
124.25	125.66
139.87	128.09
155.15	130.24
168.44	131.24
178.07	133.24
189.7	134.96
201	135.68
209.63	137.54
220.6	139.11
227.57	140.83
232.56	143.12
240.86	141.97
251.83	141.4
262.79	140.97
273.75	140.54
284.39	139.83
295.35	139.54
305.32	139.25
317.28	138.54
325.25	138.54

