Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Density (kg/m^3)

276.05	7321
354.48	7266.11
419.83	7238.66
472.11	7202.07
495.64	7131.93
516.56	7040.45
534.86	6976.41
600.21	6927.62
707.39	6866.64
777.98	6820.89
864.25	6775.15
958.36	6701.97
1055.09	6647.08
1118.35	6587.19
1231.28	6521.32
1310.34	6468.63
1411.98	6407.15
1509.86	6350.06
1588.91	6301.76
1716.9	6218.33
1826.07	6161.25
1950.3	6064.64
2089.59	5994.38
2206.28	5941.69
2405.8	5871.43
2548.85	5735.3
2669.32	5691.39
2737.08	5625.52
