Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Specific heat capacity (J/kg/K)

0.0	0.0
2.44	0.83
6.72	1.65
8.86	4.13
10.7	8.81
12.83	15.97
16.2	24.5
18.33	32.21
22	39.37
24.45	47.9
27.5	55.33
31.17	66.07
40.24	87.96
47.63	106.52
56.61	124.12
66.64	140.29
76.67	155.04
87.23	166.45
99.9	178.35
115.22	187.86
133.7	197.37
157.99	206.89
182.28	213.07
201.82	215.93
226.1	218.78
246.17	221.64
267.29	224.49
285.24	225.44
300.56	228.77
321.15	230.67
342.27	234
356	236.38
373.43	238.28
391.38	239.71
407.75	243.04
417.78	244.94
432.04	246.85
455.45	249.72
466.67	249.72
480.3	252.44
488.48	254.26
494.55	262.44
494.85	1154.81
499.39	1161.17
501.21	1163.9
512.12	1134.82
517.27	249.72
527.58	242.45
543.03	242.45
555.15	244.27
566.97	244.27
578.48	243.36
580.5	242.33
633.42	238.96
689.12	234.47
751.33	226.82
815.38	220.08
875.73	213.34
923.08	209.97
1157.64	239.69
1255.82	232.69
1348.23	228.5
1429.08	228.5
1515.71	229.9
1588.86	229.9
1729.4	227.57
1816.02	224.77
1908.43	229.43
1983.51	225.7
