Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Thermal conductivity (W/m/K)

0	9.2
0.3	50.61
1.8	184.05
2.1	280.67
2.69	375.77
3.59	460.12
2.69	569.02
3.29	720.86
3.89	1180.98
7.49	1104.29
10.78	875.77
11.68	766.87
12.57	671.78
13.77	587.42
14.97	535.28
16.17	414.11
17.07	377.3
17.37	300.61
20.66	231.6
27.54	159.51
34.73	127.3
43.11	104.29
52.99	90.49
62.87	85.89
74.85	79.75
84.13	79.75
273.35	62.88
288.65	62.91
342.89	60.43
385.91	60.43
443.89	57.95
477.56	57.12
498.13	56.29
505.61	28.97
539.28	30.63
572.94	29.8
617.83	31.46
672.07	33.11
718.83	33.11
780.55	33.11
834.79	33.94
903.99	33.94
985.16	30.56
1090.2	29.37
1276.03	35.33
1381.07	40.1
1472.64	35.33
1572.29	50.83
1674.64	53.21
1779.68	56.79
1865.86	60.36
1973.59	60.36
2073.24	63.94
2170.2	65.13
