Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Density (kg/m^3)

292.5	11373.07
595.95	10888.39
612.81	10754.93
657.77	10649.56
702.73	10586.34
742.06	10523.12
798.26	10445.85
879.74	10354.54
933.13	10270.24
1006.18	10200
1056.75	10108.68
1104.52	10059.51
1174.76	10003.32
1219.72	9904.98
1270.3	9834.73
1346.16	9771.51
1469.79	9624
1582.18	9455.41
1680.52	9343.02
1731.1	9286.83
1798.53	9209.56
1849.11	9104.2
1910.92	8970.73
1967.12	8886.44
