Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Specific heat capacity (J/kg/K)

0.0	0.0
6.61	1.27
10.33	13.18
14.05	33.46
22.73	52.98
23.97	65.9
30.17	81.11
42.56	95.82
52.48	105.45
66.12	111.28
82.23	114.83
104.55	118.38
133.06	120.91
170.25	122.18
202.48	123.95
234.71	124.46
268.18	125.98
304.13	126.99
341.32	128.77
376.03	130.04
411.98	131.56
441.74	133.33
477.69	134.85
512.4	136.88
548.35	139.67
578.1	142.71
592.98	147.78
601.13	1613.55
641.07	148.34
687.19	144.99
731.82	142.56
776.45	140.73
835.95	140.43
883.55	138.6
947.52	138.6
1059.09	138.3
1140.91	136.47
1218.26	135.26
1314.96	134.34
1387.85	132.52
1471.16	130.69
1569.34	130.39
1725.54	129.78
1854.96	129.78
2031.98	127.65
