Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Thermal conductivity (W/m/K)

0.46	13.35
0.99	77.31
1.79	156.51
2.32	260.06
2.72	348.39
3.12	467.18
3.92	534.19
5.52	445.86
6.58	324.03
7.51	232.65
9.24	156.51
12.57	92.54
15.36	71.22
18.95	55.99
23.74	43.81
28.13	46.86
33.72	40.77
37.98	46.86
42.9	43.81
77.09	40.77
80.15	37.72
83.81	40.28
127.43	37.52
184.47	36.79
233.13	35.77
290.17	35.63
328.75	34.76
379.08	33.74
437.8	32.58
479.74	32.58
528.4	31.41
578.73	29.96
603.89	28.5
608.92	16
644.16	15.71
692.81	16
738.1	16
783.4	16.14
833.73	16.14
872.32	16.58
917.62	16.58
978.01	16.43
1060.22	15.56
1170.94	13.53
1279.99	11.93
1375.62	11.2
