Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Thermal conductivity (W/m/K)

0.66	330.28
1.84	1871.56
3.02	3633.03
4.2	5944.95
6.96	8587.16
9.46	10128.44
12.22	10238.53
16.42	9357.8
19.18	7926.61
22.33	6935.78
24.96	5284.4
28.64	3302.75
31	2752.29
33.76	2091.74
38.49	1651.38
42.56	990.83
46.9	990.83
50.97	990.83
54.78	770.64
59.11	770.64
67.52	660.55
71.99	330.28
75.4	330.28
79.74	330.28
83.28	314.85
108.52	273.27
139.01	240.59
164.25	240.59
197.9	246.53
231.55	234.65
263.09	228.71
316.72	225.74
350.37	216.83
388.22	225.74
418.72	219.8
456.57	213.86
499.68	213.86
540.69	222.77
600.63	219.8
640.59	222.77
672.13	231.68
726.81	243.56
773.08	276.24
808.83	273.27
847.74	264.36
858.25	225.74
880.34	142.57
909.78	112.87
941.32	86.14
994.95	71.29
1019.14	68.32
1058.04	68.32
1105.36	68.32
1151.63	74.26
1187.38	80.2
1224.19	32.67
1257.83	32.67



