Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Calculated with atomic weight 58.6934 u.
Temperature(K)	Specific heat capacity(J/kg/K)

9.03	0.75
40.07	29.59
66.68	109.85
88.85	199.52
128.76	282.91
162.02	338.71
181.97	366.93
210.80	394.52
252.93	418.97
297.27	441.54
343.83	462.86
392.61	479.79
443.61	500.48
481.30	517.41
521.21	534.34
552.26	555.66
574.43	578.86
623.21	718.05
636.51	571.33
638.73	552.52
665.34	536.85
703.03	525.56
754.03	523.68
802.81	528.70
856.02	534.34
911.45	540.61
960.23	548.13
1011.23	555.66
1133.18	566.94
1181.96	576.98
1268.43	587.64
1370.42	605.19
1485.72	619.61
1594.37	637.80
1683.06	659.74
1785.05	690.47
2006.78	758.81
2193.03	758.81
2399.23	758.81
2592.13	760.69
3006.76	758.81
3403.65	760.69
3997.87	758.81
