Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Specific heat capacity (J/kg/K)

0.0	0.0
0.41	0.4
2.84	0.4
6.22	0.4
8.52	1.7
11.22	5.7
13.66	10.9
15.55	17.4
17.04	23.5
19.07	30.9
21.23	37
23.12	43.6
24.75	47.9
26.5	56.6
29.75	68.8
31.78	80.2
34.75	90.6
38.54	106.3
41.92	119.8
46.92	136.8
50.71	149.9
54.9	163.8
57.47	173
60.85	184.7
63.96	192.1
68.15	202.6
72.08	211.3
76.54	222.6
81.68	235.7
86	244
89.52	250.1
92.77	257.5
97.09	263.6
101.28	269.7
104.94	273.6
108.59	278.8
112.37	283.2
116.43	288
119.54	293.2
123.73	297.1
126.98	301.1
131.44	305
136.98	308.9
142.39	312.8
149.83	318
156.05	322
163.62	326.8
169.3	329.8
173.9	332
179.31	334.2
185.13	338.5
189.86	341.1
190.64	342.3
196.9	342.3
201.59	349.3
208.29	347
216.1	351.7
223.03	361.1
228.83	361.1
235.98	370.4
243.13	370.4
250.72	382.1
256.52	379.8
263.22	386.8
267.69	391.5
272.83	386.8
279.3	384.5
285.56	386.8
288.19	405.26
292.11	497.07
292.29	557.62
297.51	676.78
300.12	1065.51
302.54	1512.84
302.73	1208.1
299.74	922.91
298.81	584.97
300.86	485.35
301.42	450.18
302.91	403.3
303.24	428.2
305.72	405.4
308.82	403.8
312.7	407
317.2	403.8
321.07	403.8
322.7	406.6
331	404.3
345.33	403.2
360.43	401.5
377.4	398
389.48	396.9
404.57	396.9
420.04	396.9
438.15	392.9
456.64	389.4
482.67	388.9
501.91	385.4
508.7	384.9
522.28	384.3
540.77	384.3
560.01	384.3
578.5	380.9
596.99	382
610.19	379.1
