Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Specific heat capacity (J/kg/K)

0.0	0.0
3.18	2.48
8.51	4.95
13.07	11.76
14.6	17.33
16.88	29.09
21.44	35.9
24.49	47.05
29.81	56.95
38.94	71.81
44.27	79.24
54.16	87.9
62.53	96.57
70.9	100.9
81.56	105.24
94.49	108.33
108.19	112.66
124.17	115.14
140.15	117.62
156.13	118.85
172.11	118.85
194.17	119.47
210.92	120.71
233.74	121.95
254.29	120.71
273.31	122.57
293.86	121.95
312.88	123.19
330.38	123.81
348.64	126.9
365.38	126.9
383.65	126.9
398.86	128.14
419.41	128.76
446.04	132.47
472.68	132.47
493.98	133.71
510.97	135.98
522.85	143.41
527.42	150.84
532.91	179.07
537.48	214.74
541.13	518.64
542.05	410.9
546.62	146.38
563.07	144.15
573.12	144.85
589.1	143.62
606.6	141.76
632.47	140.52
662.15	140.52
685.74	141.14
716.17	138.04
743.57	139.9
778.57	139.9
818.9	141.14
855.42	139.28
898.04	139.28
951.3	139.28

