Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Density (kg/m^3)

35.43	16679.39
310.35	16690.84
2114.35	16106.87
2275.54	15980.92
2460.65	15866.41
2621.87	15767.18
2789.03	15637.4
2824.59	15416.03
2914.04	15270.99
3033.43	15171.76
3146.84	15068.7
3266.23	14973.28
3361.71	14870.23
3522.94	14774.81
3678.17	14664.12
3922.98	14503.82
4191.75	14389.31
4454.54	14267.18
4645.59	14125.95
4896.32	13931.3
5087.35	13770.99
5308.28	13637.4
5565.02	13458.02
5767.97	13282.44
5982.89	13114.5
6245.61	12942.75
6388.87	12816.79
