Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Calculated with atomic mass 180.94788 u.
Temperature (K)	Heat capacity (J/kg/K)

26.16	1.73
41.85	16.05
57.54	32.53
78.47	54.64
94.16	72.43
136.01	89.77
166.52	104.93
206.48	116.37
239.17	123.9
290.03	129.02
355.42	132.94
428.07	135.95
522.52	138.66
620.6	141.67
722.32	143.78
827.67	144.38
1040.98	146.15
1187.45	146.59
1401.92	147.89
1600.7	150.92
1898.87	151.79
2160.42	153.96
2369.66	155.69
2594.59	157.86
2798.61	159.6
3002.62	162.2
3175.24	164.8
3405.41	166.1
3661.73	172.61
3808.2	176.51
4001.74	179.55
4163.91	181.28
4305.14	184.75
4519.62	191.26
4713.16	196.46
4859.63	202.53
5000.87	207.3
5142.11	216.41
5272.89	222.92
5372.28	231.16
5471.67	242.43
5837.84	304.88
5994.77	257.18
6162.16	224.22
6350.48	196.9
6512.64	173.91
6685.27	153.09
5659.98	384.25
