Data from The specific heat of Cu–Al–Ni shape memory alloys, I. Ruiz-Larrea, Materials Science and Engineering: A, 2006, volume 438-440,spec iss, 779-781 DOI: 10.1016/j.msea.2006.02.099
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)

280.41	461.11
280.81	461.11
281.2	464.86
281.59	464.86
281.99	466.73
282.38	466.73
282.77	470.47
283.17	474.22
283.56	479.84
284.03	483.58
284.43	485.45
284.82	489.2
285.21	494.82
285.61	498.56
286	504.18
286.39	507.92
287.02	519.16
287.73	528.52
288.12	537.88
288.36	547.24
288.68	556.6
289.3	565.97
289.62	575.33
290.09	584.69
290.25	594.05
290.64	603.41
290.88	612.78
291.04	622.14
291.43	631.5
291.66	640.86
291.98	653.97
292.29	663.33
292.45	672.69
292.69	682.06
292.92	691.42
293.08	700.78
293.24	710.14
293.47	719.5
293.71	728.87
293.87	738.23
294.1	747.59
294.26	756.95
294.34	766.31
294.5	775.68
294.65	785.04
294.81	794.4
294.97	803.76
295.13	813.12
295.2	822.49
295.36	831.85
295.6	841.21
295.76	850.57
295.83	859.93
295.99	869.3
296.15	878.66
296.23	888.02
296.39	897.38
296.46	906.75
296.62	916.11
296.78	925.47
296.86	934.83
297.01	944.19
297.09	953.56
297.17	962.92
297.64	977.9
297.8	987.26
297.96	996.62
298.04	1005.98
298.19	1015.34
298.43	1024.71
298.51	1034.07
298.59	1043.43
298.75	1045.3
299.14	1050.92
299.53	1056.54
299.93	1043.43
300.32	1039.69
300.71	1039.69
300.87	1022.83
300.95	1013.47
301.11	1004.11
301.11	994.75
301.26	985.39
301.26	976.02
301.42	966.66
301.5	957.3
301.58	947.94
301.73	944.19
301.81	934.83
301.89	925.47
302.05	916.11
302.13	906.75
302.29	897.38
302.36	888.02
302.44	878.66
302.6	869.3
302.6	869.3
302.68	859.93
302.68	850.57
302.84	841.21
302.84	831.85
302.99	822.49
302.99	813.12
303.07	803.76
303.23	794.4
303.23	785.04
303.31	775.68
303.39	766.31
303.47	756.95
303.47	747.59
303.54	738.23
303.54	728.87
303.62	719.5
303.62	710.14
303.78	710.14
303.78	700.78
303.86	691.42
303.94	682.06
304.02	672.69
303.94	663.33
304.25	663.33
304.09	644.61
304.33	644.61
304.25	635.25
304.25	625.88
304.41	616.52
304.33	607.16
304.57	607.16
304.57	597.8
304.65	588.44
304.72	579.07
304.88	569.71
304.96	560.35
305.2	550.99
305.35	541.63
305.51	532.26
305.75	522.9
306.06	513.54
306.38	504.18
306.38	498.56
306.77	496.69
307.16	492.94
307.56	489.2
307.95	483.58
308.34	481.71
308.74	479.84
309.13	476.09
309.52	474.22
309.92	474.22
310.31	472.35
310.7	474.22
311.1	474.22
311.49	474.22
311.88	472.35
312.28	472.35
312.67	472.35
313.06	470.47
