Data from Zanotti 2010 (10.1016/j.intermet.2009.06.001)
Temperature(K)	Heat capacity(J/kg/K)

301.2359551	499.5850622
319.7752809	499.5850622
338.3146067	510.6500692
339.5505618	527.2475795
343.258427	552.1438451
343.258427	577.0401107
344.494382	590.8713693
345.7303371	618.5338866
345.7303371	643.4301521
345.7303371	671.0926694
346.9662921	693.2226833
348.2022472	715.3526971
346.9662921	751.3139696
345.7303371	781.7427386
346.9662921	817.7040111
348.2022472	861.9640387
348.2022472	900.6915629
349.4382022	956.0165975
350.6741573	1003.042877
349.4382022	1055.60166
350.6741573	1121.991701
350.6741573	1177.316736
351.9101124	1249.239281
351.9101124	1315.629322
351.9101124	1387.551867
351.9101124	1456.70816
354.3820225	1531.396957
353.1460674	1597.786999
354.3820225	1675.242047
354.3820225	1741.632089
355.6179775	1813.554633
355.6179775	1874.412172
354.3820225	1943.568465
356.8539326	1998.893499
354.3820225	2059.751037
358.0898876	2109.543568
358.0898876	2159.3361
358.0898876	2186.998617
358.0898876	2217.427386
358.0898876	2242.323651
359.3258427	2264.453665
363.0337079	2186.998617
361.7977528	2145.504841
363.0337079	2112.30982
361.7977528	2059.751037
361.7977528	2007.192254
364.2696629	1943.568465
363.0337079	1877.178423
363.0337079	1808.02213
364.2696629	1741.632089
365.505618	1672.475795
364.2696629	1600.55325
365.505618	1528.630705
365.505618	1456.70816
366.741573	1384.785615
366.741573	1318.395574
367.9775281	1252.005533
367.9775281	1185.615491
367.9775281	1124.757953
367.9775281	1063.900415
369.2134831	1008.57538
369.2134831	956.0165975
370.4494382	908.9903181
370.4494382	864.7302905
370.4494382	823.2365145
371.6853933	784.5089903
370.4494382	751.3139696
371.6853933	720.8852006
371.6853933	693.2226833
371.6853933	676.6251729
372.9213483	654.4951591
372.9213483	635.131397
374.1573034	621.3001383
374.1573034	607.4688797
374.1573034	590.8713693
374.1573034	571.5076072
375.3932584	546.6113416
377.8651685	535.5463347
377.8651685	516.1825726
385.2808989	505.1175657
410	505.1175657
432.247191	507.8838174
454.494382	510.6500692
479.2134831	510.6500692
500.2247191	513.4163209
522.4719101	513.4163209
544.7191011	513.4163209
564.494382	518.9488243
589.2134831	516.1825726
611.4606742	518.9488243
633.7078652	521.7150761
654.7191011	521.7150761
679.4382022	524.4813278
700.4494382	524.4813278
721.4606742	527.2475795
742.4719101	530.0138313
767.1910112	527.2475795
789.4382022	530.0138313
810.4494382	530.0138313
833.9325843	532.780083
857.4157303	532.780083
878.4269663	532.780083
899.4382022	541.0788382
920.4494382	538.3125864
946.4044944	541.0788382
963.7078652	541.0788382
989.6629213	541.0788382
1013.146067	541.0788382
1035.393258	543.8450899
1056.404494	543.8450899
1076.179775	543.8450899
1098.426966	546.6113416
1123.146067	549.3775934
1145.393258	552.1438451
1166.404494	549.3775934
1189.88764	549.3775934
1208.426966	552.1438451
1233.146067	552.1438451
1255.393258	557.6763485
1278.876404	560.4426003
1299.88764	563.208852
1320.898876	563.208852
1343.146067	563.208852
1367.865169	560.4426003
1387.640449	563.208852
