Data from Warzoha 2020 (10.1016/j.ijheatmasstransfer.2020.119760)
Outside and inside transition region combined from different graphs, upon heating.
Temperature(K)	Heat capacity(J/kg/K)

150.39	384.12
154.24	385.58
159.51	388.51
164.65	390.70
167.35	395.82
174.29	406.06
176.61	417.03
180.85	419.23
185.09	423.62
188.56	429.47
190.62	433.86
194.22	436.78
195.24	441.9
198.20	438.98
201.03	439.71
203.60	443.36
205.78	447.75
208.35	452.14
209.77	454.34
211.22	457.19
213.17	462.64
215.28	470.81
217.15	492.59
219.10	508.93
221.68	530.72
223.94	528.00
226.44	522.55
228.62	528.00
231.43	528.00
233.46	528.00
234.78	536.17
236.66	555.23
238.53	579.74
240.40	617.86
242.20	653.27
243.91	707.73
245.01	734.97
245.79	792.16
246.49	830.28
247.11	882.03
247.58	939.22
248.05	963.73
248.60	1015.47
249.38	1091.72
250.78	1187.04
251.56	1132.57
252.26	1059.04
252.73	988.24
252.97	922.88
253.67	862.96
254.14	800.33
254.76	759.48
255.46	721.35
257.57	672.33
259.29	647.82
261.00	620.59
262.95	606.97
264.59	593.36
266.31	590.63
267.95	568.85
270.29	549.78
272.47	530.72
274.03	511.66
274.81	491.64
276.09	484.33
277.51	480.67
279.31	478.47
282.39	474.09
285.73	474.09
289.46	468.97
292.29	468.97
297.17	463.85
300.51	463.11
302.44	462.38
