Data from Chen 2019 (10.1016/j.actamat.2019.07.033)
Cp is in J/molK, but the dS value from this paper was compared to the dS of another one: Chen 2018 (10.1016/j.actamat.2018.08.003),
to get the molar mass (dS = 51.6 J/kgK = 1.8 J/molK => molar mass = 0.0348837 kg/mol)
Temperature(K)	Heat capacity(J/mol/K)	Heat capacity(J/kg/K)

1.231848589	0.123503625	3.540439375
4.036139664	0.149848255	4.295652552
7.350301844	0.149848255	4.295652552
10.66446402	0.202537515	5.806078907
13.9786262	0.281571404	8.071718438
16.52798173	0.465983814	13.35821068
19.07733725	0.597706963	17.13427657
21.37175722	0.834808633	23.93119516
24.43098385	1.124599562	32.23854011
27.23527492	1.57245827	45.07716412
31.31424376	2.152040128	61.69185402
36.15801925	2.968723655	85.10346252
41.00179475	3.785407183	108.515071
47.120248	4.997260158	143.2548772
53.74857236	6.498904063	186.3020283
61.39663893	8.132271118	233.1252453
69.5545766	9.923705952	284.4797413
79.49706314	11.79417468	338.0998769
90.71422744	13.61195414	390.2095861
100.9116495	15.1662873	434.7671636
111.6189427	16.61524195	476.3038883
122.3262359	17.77440567	509.5332681
133.2884647	18.82819086	539.7417952
144.2506934	19.77659754	566.9294696
154.9579866	20.6196257	591.0962913
165.4103443	21.38361996	612.9974734
176.1176375	22.01589108	631.1225897
187.3348018	22.67450683	650.0029191
197.7871594	23.20139943	665.1071826
208.7493882	23.83367054	683.2322989
219.2017458	24.51863092	702.8678415
230.1639745	25.28262519	724.7690236
241.1262033	26.15199798	749.6910585
251.8334965	27.41654021	785.941291
261.775983	28.76011634	824.457163
271.9734051	30.07734783	862.2178219
282.1708272	29.44507672	844.0927056
292.1133138	26.54716743	761.0192561
302.5656714	25.62510538	734.5867949
312.5081579	25.33531445	726.27945
322.4506445	25.2035913	722.5033841
332.393131	25.12455741	720.2377446
353.0429108	25.09821278	719.4825314



