Data from Chen 2019 (10.1016/j.actamat.2019.07.033)
Isothermal entropy change at stress application, 200 MPa. From cooling curves using Maxwell relation.
Temperature(K)	Isothermal entropy change(J/kg/K)

149.00	-1.56
150.00	-1.56
151.00	-1.56
152.00	-1.56
153.00	-1.56
154.00	-1.56
155.00	-1.56
156.00	-1.56
157.00	-1.56
158.00	-1.56
159.00	-1.56
160.00	-1.56
161.00	-1.56
162.00	-1.56
163.00	-1.56
164.00	-1.56
165.00	-1.58
166.00	-1.60
167.00	-1.63
168.00	-1.66
169.00	-1.68
170.00	-1.71
171.00	-1.74
172.00	-1.77
173.00	-1.79
174.00	-1.82
175.00	-1.85
176.00	-1.87
177.00	-1.91
178.00	-1.94
179.00	-1.98
180.00	-2.01
181.00	-2.05
182.00	-2.08
183.00	-2.12
184.00	-2.15
185.00	-2.19
186.00	-2.22
187.00	-2.25
188.00	-2.28
189.00	-2.31
190.00	-2.34
191.00	-2.37
192.00	-2.40
193.00	-2.42
194.00	-2.45
195.00	-2.48
196.00	-2.52
197.00	-2.55
198.00	-2.59
199.00	-2.62
200.00	-2.66
201.00	-2.69
202.00	-2.73
203.00	-2.76
204.00	-2.80
205.00	-2.84
206.00	-2.90
207.00	-2.95
208.00	-3.00
209.00	-3.05
210.00	-3.11
211.00	-3.16
212.00	-3.21
213.00	-3.27
214.00	-3.33
215.00	-3.39
216.00	-3.45
217.00	-3.52
218.00	-3.58
219.00	-3.65
220.00	-3.71
221.00	-3.77
222.00	-3.84
223.00	-3.90
224.00	-4.01
225.00	-4.12
226.00	-4.23
227.00	-4.34
228.00	-4.45
229.00	-4.56
230.00	-4.67
231.00	-4.79
232.00	-4.92
233.00	-5.04
234.00	-5.17
235.00	-5.29
236.00	-5.41
237.00	-5.54
238.00	-5.66
239.00	-5.77
240.00	-5.88
241.00	-5.98
242.00	-6.09
243.00	-6.20
244.00	-6.36
245.00	-6.56
246.00	-6.76
247.00	-6.96
248.00	-7.16
249.00	-7.37
250.00	-7.67
251.00	-8.17
252.00	-8.67
253.00	-9.14
254.00	-9.46
255.00	-9.78
256.00	-10.10
257.00	-10.42
258.00	-10.72
259.00	-11.00
260.00	-11.27
261.00	-11.54
262.00	-11.77
263.00	-11.92
264.00	-12.07
265.00	-12.21
266.00	-12.36
267.00	-12.50
268.00	-12.42
269.00	-12.34
270.00	-12.26
271.00	-12.18
272.00	-11.96
273.00	-11.74
274.00	-11.52
275.00	-11.21
276.00	-10.80
277.00	-10.40
278.00	-9.88
279.00	-9.17
280.00	-8.47
281.00	-7.92
282.00	-7.43
283.00	-6.93
284.00	-6.44
285.00	-5.94
286.00	-5.41
287.00	-4.88
288.00	-4.35
289.00	-4.02
290.00	-3.76
291.00	-3.49
292.00	-3.23
293.00	-2.96
294.00	-2.72
295.00	-2.52
296.00	-2.31
297.00	-2.11
298.00	-1.90
299.00	-1.71
300.00	-1.58
301.00	-1.46
302.00	-1.34
303.00	-1.21
304.00	-1.09
305.00	-0.97
306.00	-0.84
307.00	-0.72
308.00	-0.62
309.00	-0.58
310.00	-0.54
311.00	-0.50
312.00	-0.46
313.00	-0.42
314.00	-0.38
315.00	-0.34
316.00	-0.30
317.00	-0.27
318.00	-0.23
319.00	-0.19
320.00	-0.15
321.00	-0.12
322.00	-0.08
323.00	-0.04
324.00	-0.01
325.00	0.02
326.00	0.04
327.00	0.07
328.00	0.09
329.00	0.11
330.00	0.14
331.00	0.16
332.00	0.16
333.00	0.16
334.00	0.16
335.00	0.16
336.00	0.16
337.00	0.16
338.00	0.16

