Data from Chen 2019 (10.1016/j.actamat.2019.07.033)
Isothermal entropy change at stress removal, 600 MPa. From heating curves using Maxwell relation.
Temperature(K)	Isothermal entropy change(J/kg/K)

150.00	6.24
151.00	6.25
152.00	6.28
153.00	6.31
154.00	6.34
155.00	6.37
156.00	6.40
157.00	6.43
158.00	6.47
159.00	6.50
160.00	6.53
161.00	6.57
162.00	6.62
163.00	6.67
164.00	6.72
165.00	6.77
166.00	6.82
167.00	6.87
168.00	6.92
169.00	6.97
170.00	7.02
171.00	7.07
172.00	7.12
173.00	7.17
174.00	7.22
175.00	7.26
176.00	7.31
177.00	7.36
178.00	7.41
179.00	7.46
180.00	7.50
181.00	7.55
182.00	7.60
183.00	7.65
184.00	7.70
185.00	7.76
186.00	7.83
187.00	7.90
188.00	7.97
189.00	8.04
190.00	8.12
191.00	8.19
192.00	8.26
193.00	8.33
194.00	8.40
195.00	8.48
196.00	8.55
197.00	8.62
198.00	8.64
199.00	8.67
200.00	8.69
201.00	8.72
202.00	8.74
203.00	8.77
204.00	8.79
205.00	8.82
206.00	8.84
207.00	8.87
208.00	8.89
209.00	8.92
210.00	8.96
211.00	9.00
212.00	9.04
213.00	9.09
214.00	9.13
215.00	9.17
216.00	9.21
217.00	9.25
218.00	9.30
219.00	9.34
220.00	9.39
221.00	9.45
222.00	9.51
223.00	9.58
224.00	9.64
225.00	9.70
226.00	9.76
227.00	9.82
228.00	9.88
229.00	9.94
230.00	9.98
231.00	10.02
232.00	10.05
233.00	10.09
234.00	10.12
235.00	10.16
236.00	10.19
237.00	10.23
238.00	10.31
239.00	10.44
240.00	10.56
241.00	10.69
242.00	10.82
243.00	10.95
244.00	11.08
245.00	11.21
246.00	11.33
247.00	11.45
248.00	11.52
249.00	11.59
250.00	11.66
251.00	11.73
252.00	11.80
253.00	11.87
254.00	11.95
255.00	12.02
256.00	12.19
257.00	12.40
258.00	12.60
259.00	12.80
260.00	13.00
261.00	13.20
262.00	13.40
263.00	13.58
264.00	13.77
265.00	13.95
266.00	14.14
267.00	14.32
268.00	14.50
269.00	14.69
270.00	14.87
271.00	15.05
272.00	15.32
273.00	15.68
274.00	16.03
275.00	16.39
276.00	16.75
277.00	17.11
278.00	17.46
279.00	17.84
280.00	18.26
281.00	18.67
282.00	19.09
283.00	19.50
284.00	19.91
285.00	20.56
286.00	21.32
287.00	22.07
288.00	22.79
289.00	23.25
290.00	23.70
291.00	24.16
292.00	24.62
293.00	25.29
294.00	26.46
295.00	27.64
296.00	28.52
297.00	29.23
298.00	29.94
299.00	30.65
300.00	31.65
301.00	32.79
302.00	34.09
303.00	35.57
304.00	36.92
305.00	37.89
306.00	38.86
307.00	39.82
308.00	40.94
309.00	42.12
310.00	43.28
311.00	44.23
312.00	45.19
313.00	46.12
314.00	47.04
315.00	47.95
316.00	48.85
317.00	49.74
318.00	50.62
319.00	51.50
320.00	52.27
321.00	53.01
322.00	53.36
323.00	53.42
324.00	53.49
325.00	53.56
326.00	53.58
327.00	53.36
328.00	53.15
329.00	52.93
330.00	52.62
331.00	51.98
332.00	51.34
333.00	50.70
334.00	49.78
335.00	48.80
336.00	47.83
337.00	46.79
338.00	45.75
339.00	44.69
340.00	42.84
341.00	41.10
342.00	39.88
343.00	38.66
344.00	37.25
345.00	35.76
346.00	34.56
347.00	33.59
348.00	32.61
349.00	31.51
350.00	30.29
351.00	29.09
352.00	28.08
353.00	27.07
354.00	25.96
355.00	24.61
356.00	23.48
357.00	22.59
358.00	21.70
359.00	20.82
360.00	20.02
361.00	19.22
362.00	18.42
363.00	17.63
364.00	16.98
365.00	16.34
366.00	15.69
367.00	15.05
368.00	14.47
369.00	13.90
370.00	13.32
371.00	12.74
372.00	12.27
373.00	11.81
374.00	11.35
375.00	10.90
376.00	10.48
377.00	10.10
378.00	9.72
379.00	9.34
380.00	8.95
381.00	8.61
382.00	8.28
383.00	7.94
384.00	7.61
385.00	7.30
386.00	7.04
387.00	6.79
388.00	6.54
389.00	6.45
