Data from Chen 2019 (10.1016/j.actamat.2019.07.033)
The experimental adiabatic temperature change measured in the stress removing the process from 600 MPa.
Temperature dependence of dT adiabatic, calculated from strain-temperature relation using Maxwell relation.
Temperature(K)	Adiabatic temperature change(K)

179.6208531	-1.737804878
190.9952607	-2.103658537
203.7914692	-2.286585366
219.4312796	-2.743902439
237.9146919	-3.384146341
254.028436	-4.481707317
265.8767773	-5.487804878
279.1469194	-7.591463415
284.3601896	-9.329268293
293.3649289	-12.16463415
297.6303318	-14.3597561
302.3696682	-17.28658537
307.1090047	-20.21341463
309.478673	-22.31707317
313.7440758	-25.24390244
317.535545	-27.5304878
322.2748815	-29.3597561
326.5402844	-30.36585366
331.7535545	-29.63414634
335.07109	-27.80487805
338.8625592	-25.70121951
342.6540284	-22.86585366
345.971564	-20.21341463
351.1848341	-17.37804878
354.028436	-15.09146341
357.3459716	-13.07926829
361.6113744	-10.6097561
365.8767773	-8.597560976
371.563981	-6.676829268
377.2511848	-4.756097561
388.6255924	-2.469512195
