c. L. Gomez-Heredia, Scientific reports, 2019, DOI: 10.1038/s41598-019-51162-4


temperature has been converted to K (C+273.15) and specific heat capacity to J/kgK (J/gK*1000)
Note: these are the original data points, not the fitted curve.

Temperature	Specific heat capacity
K	J/kgK

293.2462	1954.77
296.1620	1969.08
298.7862	1991.16
301.6795	2005.47
304.5952	2029.93
307.4886	2044.25
310.4043	2068.71
313.0285	2092.57
315.9442	2124.18
318.8375	2170.12
321.7533	2263.77
324.3775	2495.82
327.2708	2843.60
330.1865	3075.66
333.0799	3005.27
335.9956	2942.63
338.8889	2911.61
341.8047	2879.99
344.4289	2865.68
347.3446	2841.22
350.2379	2834.06
353.1537	2819.74
