c. L. Gomez-Heredia, Scientific reports, 2019, DOI: 10.1038/s41598-019-51162-4


temperature has been converted to K (C+273.15) and specific heat capacity to J/kgK (J/gK*1000)
Note: these are the original data points, not the fitted curve.

Temperature	Specific heat capacity
K	J/kgK

293.2462	1949.99
296.1620	1949.99
298.7862	1957.15
301.6795	1964.31
304.5952	1972.07
307.4886	1979.23
310.4043	1986.38
313.0285	2000.70
315.9442	2015.02
318.8375	2046.63
321.7533	2092.57
324.3775	2177.27
327.2708	2331.78
330.1865	2611.55
333.0799	2899.08
335.9956	2906.24
338.8889	2850.76
341.5355	2843.60
344.4289	2843.60
347.3446	2819.74
350.2379	2826.90
353.1537	2819.74
