c. L. Gomez-Heredia, Scientific reports, 2019, DOI: 10.1038/s41598-019-51162-4


temperature has been converted to K (C+273.15)
Note: these are the original data points, not the fitted curve.


Temperature	Thermal conductivity
K	W/mK

293.3007	6.42
295.9681	6.43
298.8340	6.48
301.6778	6.50
304.5216	6.53
307.3874	6.57
310.2312	6.59
313.0971	6.64
315.9409	6.74
318.8067	6.86
321.6505	7.13
324.5164	7.84
327.3602	9.05
330.2260	9.91
333.0698	9.74
335.9357	9.57
338.7795	9.47
341.6453	9.40
344.4891	9.35
347.3550	9.28
350.1988	9.25
353.0646	9.21
