c. L. Gomez-Heredia, Scientific reports, 2019, DOI: 10.1038/s41598-019-51162-4


temperature has been converted to K (C+273.15)
Note: these are the original data points, not the fitted curve.


Temperature	Thermal conductivity
K	W/mK
	
	
293.2125	6.39
295.8800	6.37
298.7238	6.34
301.5896	6.32
304.4334	6.30
307.2993	6.27
310.1431	6.27
313.0089	6.30
315.8527	6.32
318.7186	6.42
321.5624	6.56
324.4282	6.83
327.2720	7.32
330.1379	8.23
332.9817	9.19
335.8475	9.29
338.6913	9.17
341.5572	9.17
344.4010	9.25
347.2668	9.20
350.1106	9.22
352.9764	9.20
