Data from https://doi.org/10.1002/adma.201903577
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)

146.14	329.42
146.17	329.36
146.2	329.37
146.24	329.41
146.27	329.46
146.3	329.55
146.34	329.66
146.37	329.72
146.4	329.7
146.44	329.65
146.47	329.66
146.5	329.79
146.54	329.94
146.57	330.04
146.61	330.06
146.64	330.01
146.67	329.98
146.71	329.94
146.74	329.84
146.77	329.75
146.81	329.75
146.84	329.81
146.87	329.9
146.91	330
146.94	330.08
146.97	330.02
147.01	329.86
147.04	329.8
147.07	329.83
147.11	329.89
147.14	329.99
147.17	330.12
147.21	330.25
147.24	330.36
147.28	330.42
147.31	330.46
147.34	330.51
147.38	330.52
147.41	330.5
147.44	330.49
147.47	330.51
147.51	330.55
147.54	330.59
147.58	330.57
147.61	330.46
147.64	330.38
147.68	330.38
147.71	330.47
147.74	330.65
147.78	330.86
147.81	331.06
147.85	331.23
147.88	331.32
147.91	331.37
147.95	331.37
147.98	331.29
148.01	331.21
148.05	331.17
148.08	331.19
148.11	331.29
148.15	331.46
148.18	331.63
148.21	331.79
148.25	331.94
148.28	332.06
148.32	332.15
148.35	332.24
148.38	332.32
148.42	332.4
148.45	332.48
148.48	332.55
148.52	332.62
148.55	332.72
148.58	332.8
148.62	332.86
148.65	332.87
148.68	332.79
148.72	332.68
148.75	332.58
148.78	332.45
148.82	332.37
148.85	332.42
148.89	332.5
148.92	332.57
148.95	332.61
148.99	332.57
149.02	332.53
149.05	332.56
149.09	332.63
149.12	332.66
149.15	332.62
149.19	332.55
149.22	332.51
149.26	332.49
149.29	332.41
149.32	332.12
149.35	331.75
149.39	331.65
149.42	331.76
149.45	331.89
149.49	331.98
149.52	332.01
149.55	332
149.59	332
149.62	332.07
149.66	332.18
149.69	332.34
149.72	332.46
149.76	332.48
149.79	332.4
149.82	332.26
149.86	332.12
149.89	332.05
149.92	332.05
149.96	332.08
149.99	332.12
150.02	332.17
150.06	332.27
150.09	332.36
150.13	332.43
150.16	332.52
150.19	332.6
