Data from https://doi.org/10.1002/adma.201903577
Upon heating
Temperature(K)	Heat capacity(J/kg/K)

146.83	403.53
146.86	403.81
146.89	403.79
146.93	403.96
146.96	404.25
146.99	404.41
147.02	403.57
147.06	401.9
147.09	400.68
147.12	399.45
147.15	398.06
147.19	396.63
147.22	394.6
147.25	392.6
147.28	391.5
147.32	391.33
147.35	391.85
147.38	392.64
147.41	393.49
147.45	394.31
147.48	395.2
147.51	396.46
147.54	397.75
147.58	398.61
147.61	399.13
147.64	399.45
147.67	399.58
147.71	399.82
147.74	400.1
147.77	400.1
147.8	399.95
147.83	399.39
147.87	398.31
147.9	397.84
147.93	398.23
147.96	398.5
148	398.51
148.03	398.29
148.06	397.91
148.09	397.98
148.13	398.48
148.16	399.08
148.19	399.44
148.22	399.11
148.26	398.41
148.29	397.02
148.32	394.79
148.35	393.08
148.39	392.6
148.42	392.97
148.45	393.86
148.48	394.94
148.51	395.63
148.54	395.73
148.58	395.4
148.61	395.01
148.64	394.78
148.68	394.83
148.71	395.24
148.75	396.03
148.78	397.12
148.81	397.99
148.84	398.44
148.87	398.59
148.91	398.15
148.94	397.05
148.97	395.67
149	394.27
149.04	393.13
149.07	392.21
149.1	391.23
149.13	390.37
149.17	389.79
149.2	389.63
149.23	389.89
149.26	390.38
149.3	391.02
149.33	391.74
149.36	392.59
149.4	393.72
149.43	394.87
149.46	395.93
149.49	397.16
149.53	398.39
149.56	399.64
149.59	401.17
149.63	402.57
149.66	403.39
149.69	403.67
149.72	403.63
149.75	403.29
149.79	402.21
149.82	400
149.85	396.9
149.89	394.37
149.92	393.23
149.95	392.87
149.98	392.47
150.02	391.85
150.05	391.38
150.08	391.24
150.11	391.53
150.15	391.87
150.18	391.69
150.21	391.31
150.24	391.35
150.28	391.83
150.31	392.56
150.35	393.32
150.38	394.09
150.41	394.83
150.44	395.29
150.47	395.38
150.51	395.36
150.54	395.65
150.57	395.95
150.61	395.63
150.64	394.51
150.67	392.76
150.7	391.15
150.74	390.39
150.77	390.4
150.8	390.85
150.83	391.58
150.87	392.36
150.9	393.19
150.93	393.97
150.96	394.49
151	395
151.03	395.44
151.06	395.47
151.1	395.79
151.13	396.23
151.16	396.33
151.19	396.39
151.23	396.49
151.26	396.84
151.29	397.65
151.33	398.3
151.36	397.82
151.39	396.89
151.43	396.28
151.46	395.88
151.49	395.75
151.52	395.92
151.55	396.16
151.59	396.35
151.62	396.35
151.66	396.18
151.69	396.05
151.72	395.97
151.75	395.64
151.78	394.95
151.82	394.24
151.85	393.67
151.88	393.21
151.91	392.9
151.95	392.36
151.98	391.95
152.01	392.34
152.05	393.28
152.08	394.26
152.11	394.79
152.14	394.79
152.18	394.55
152.21	394.36
152.24	394.25
152.28	394.06
152.31	393.63
152.34	393.2
152.38	393.14
152.41	393.55
152.44	394.32
152.47	395.11
152.51	395.6
152.54	395.35
152.57	394.65
152.6	394.07
152.64	393.76
152.67	393.69
152.7	393.37
152.73	392.48
152.77	391.58
152.8	391.18
152.83	391.54
152.87	392.41
152.9	393.19
152.93	393.76
152.96	394.16
153	394.83
153.03	395.79
153.06	396.67
153.1	397.38
153.13	397.84
153.16	398.1
153.2	398.24
153.23	398.59
153.26	399.1
153.29	399.19
153.32	398.27
153.36	396.58
153.39	395.19
153.42	394.73
153.46	394.88
153.49	395.08
153.52	394.87
153.55	393.61
153.59	391.46
153.62	389.3
153.65	387.73
153.69	387.06
153.72	387.14
153.75	387.47
153.79	387.72
153.82	387.61
153.85	387.15
153.88	387.02
153.92	387.52
153.95	388.29
153.98	389.06
154.02	389.51
154.05	389.39
154.08	388.84
154.11	388.38
154.15	388.27
154.18	388.27
154.21	388.06
154.25	387.49
154.28	386.57
154.31	385.57
154.35	384.81
154.38	384.08
154.41	383.25
154.44	382.38
154.47	381.42
154.51	380.86
154.54	380.94
154.57	381.27
154.61	381.77
154.64	382.39
154.67	383.01
154.71	383.51
154.74	383.88
154.77	384.07
154.81	384.15
154.84	384.12
154.87	383.91
154.9	383.69
154.94	383.63
154.97	383.56
155	383.3
155.03	382.83
155.07	382.36
155.1	381.97
155.14	381.48
155.17	380.75
155.2	380.04
155.23	379.87
155.27	380.08
155.3	380.28
155.33	380.44
155.37	380.3
155.4	379.8
155.43	379.43
155.47	379.45
155.5	379.58
155.53	379.66
155.56	379.63
155.59	379.52
155.63	379.5
155.66	379.65
155.7	379.8
155.73	379.77
155.76	379.46
155.79	379.03
155.83	378.76
155.86	378.84
155.89	379.04
155.93	379.04
155.96	378.71
155.99	378.09
156.02	377.32
156.06	376.4
156.09	375.42
156.12	374.84
156.15	374.69
156.19	374.71
156.22	374.79
156.26	374.82
156.29	374.74
156.32	374.7
156.35	374.79
156.39	374.93
156.42	375.11
156.45	375.26
156.49	375.41
156.52	375.56
156.55	375.72
156.59	375.97
156.62	376.12
156.65	376
156.68	375.76
156.72	375.58
156.75	375.49
156.78	375.48
156.81	375.52
156.85	375.39
156.88	374.91
156.91	374.17
156.95	373.52
156.98	373.19
157.01	373.06
157.04	373.01
157.08	373
157.11	373.01
157.15	373.06
157.18	373.13
157.21	373.15
157.25	373.25
157.28	373.47
157.31	373.7
157.35	373.91
157.38	374.03
157.41	374.06
157.44	374.34
157.48	375.04
157.51	375.73
157.54	376.13
157.58	376.34
157.61	376.43
157.64	376.42
157.68	376.26
157.71	376.11
157.74	376.08
157.78	376.1
157.81	376.09
157.84	375.91
157.87	375.44
157.91	374.68
157.94	373.76
157.97	372.99
158.01	372.66
158.04	372.7
158.07	372.86
158.1	373.04
158.14	373.18
158.17	373.35
158.2	373.61
158.24	373.95
158.27	374.28
158.3	374.52
158.34	374.71
158.37	374.93
158.4	375.22
158.43	375.6
158.46	376.01
158.5	376.34
158.53	376.6
158.57	376.96
158.6	377.42
158.63	377.82
158.67	378
158.7	378.04
158.73	378.11
158.77	378.17
158.8	378.18
