Data from https://doi.org/10.1103/PhysRevMaterials.3.044406
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)

220	485.43
220.1	485.59
220.2	485.76
220.3	485.92
220.4	486.08
220.5	486.25
220.6	486.41
220.7	486.57
220.8	486.74
220.9	486.9
221	487.06
221.1	487.23
221.2	487.39
221.3	487.55
221.4	487.72
221.5	487.88
221.6	488.04
221.7	488.21
221.8	488.37
221.9	488.53
222	488.7
222.1	488.86
222.2	489.02
222.3	489.19
222.4	489.35
222.5	489.51
222.6	489.68
222.7	489.84
222.8	490
222.9	490.17
223	490.33
223.1	490.49
223.2	490.66
223.3	490.82
223.4	490.98
223.5	491.15
223.6	491.31
223.7	491.47
223.8	491.64
223.9	491.8
224	491.96
224.1	492.13
224.2	492.29
224.3	492.45
224.4	492.61
224.5	492.78
224.6	492.94
224.7	493.1
224.8	493.27
224.9	493.43
225	493.59
225.1	493.76
225.2	493.92
225.3	494.08
225.4	494.25
225.5	494.41
225.6	494.57
225.7	494.74
225.8	494.9
225.9	495.06
226	495.23
226.1	495.39
226.2	495.55
226.3	495.72
226.4	495.88
226.5	496.04
226.6	496.21
226.7	496.37
226.8	496.53
226.9	496.7
227	496.86
227.1	497.02
227.2	497.19
227.3	497.35
227.4	497.51
227.5	497.68
227.6	497.84
227.7	498
227.8	498.17
227.9	498.33
228	498.49
228.1	747.97
228.2	498.82
228.3	499.63
228.4	500.57
228.5	501.38
228.6	502.9
228.7	506.55
228.8	504.66
228.9	513.45
229	509.8
229.1	515.65
229.2	510.57
229.3	516.74
229.4	517.54
229.5	518.78
229.6	523.8
229.7	519.95
229.8	533.61
229.9	546.52
230	536.11
230.1	541.2
230.2	529.81
230.3	530.46
230.4	539.57
230.5	549.33
230.6	568.5
230.7	558.22
230.8	557.35
230.9	550.8
231	551.11
231.1	559.04
231.2	558.94
231.3	578.86
231.4	567.21
231.5	595.64
231.6	597.9
231.7	583.16
231.8	612.29
231.9	596.21
232	618.41
232.1	629.68
232.2	622.98
232.3	629.6
232.4	628.11
232.5	622.69
232.6	661.37
232.7	741.25
232.8	618.82
232.9	629.18
233	713.33
233.1	671.97
233.2	711.67
233.3	713.72
233.4	711.01
233.5	697.32
233.6	717.15
233.7	705.29
233.8	696.59
233.9	781.38
234	838.7
234.1	817.88
234.2	728.32
234.3	737.1
234.4	912.4
234.5	860.28
234.6	850.11
234.7	768.88
234.8	890.68
234.9	795.56
235	831.53
235.1	966.98
235.2	882.19
235.3	1151.07
235.4	836.7
235.5	844.42
235.6	1061.29
235.7	960.07
235.8	1068.19
235.9	1175.77
236	1151.72
236.1	1005.84
236.2	1112.96
236.3	1252.08
236.4	1086.09
236.5	1074.44
236.6	1385.51
236.7	1430.78
236.8	1204.72
236.9	1165.5
237	1194.04
237.1	1324.61
237.2	1366.64
237.3	1330.59
237.4	1873
237.5	1309.8
237.6	1575.15
237.7	1350.28
237.8	1894.23
237.9	1792.1
238	1415.8
238.1	1441.3
238.2	2140.66
238.3	2062.08
238.4	1673.53
238.5	1808.75
238.6	1632.54
238.7	2778.39
238.8	1990.96
238.9	2401.44
239	1941.98
239.1	2493.09
239.2	2565.39
239.3	2545.6
239.4	2180.37
239.5	2344.82
239.6	2423.27
239.7	2436.96
239.8	2543.01
239.9	2795.59
240	2737.48
240.1	2889.68
240.2	2758.32
240.3	3070.45
240.4	2263.37
240.5	2494.61
240.6	2332.51
240.7	3617.23
240.8	2346.12
240.9	2348.76
241	2973.65
241.1	2948.77
241.2	2705.06
241.3	2579.15
241.4	3098.37
241.5	3312.87
241.6	3459.51
241.7	2621.23
241.8	2864.66
241.9	2792.96
242	2503.63
242.1	2505.03
242.2	2502.71
242.3	2499.95
242.4	3589.15
242.5	3574.93
242.6	2908.22
242.7	3215.13
242.8	2767.34
242.9	3227.36
243	2570.23
243.1	3047.54
243.2	2960.23
243.3	2603.87
243.4	2733.18
243.5	2649.03
243.6	2553.37
243.7	2954.87
243.8	2147.68
243.9	2272.91
244	2732.71
244.1	3026.55
244.2	2311.65
244.3	1923.11
244.4	1915.44
244.5	1975.66
244.6	1812.4
244.7	2692.84
244.8	2222.46
244.9	2025.69
245	1935.46
245.1	1622.03
245.2	1489.65
245.3	1477.15
245.4	1376.98
245.5	1332.86
245.6	1490.19
245.7	1567.14
245.8	1363.63
245.9	1275.03
246	1358.98
246.1	1221.68
246.2	1060.45
246.3	1101.69
246.4	1209.29
246.5	969.6
246.6	939.01
246.7	920.57
246.8	912.66
246.9	942.84
247	1005.71
247.1	852.3
247.2	862.6
247.3	797.5
247.4	782.66
247.5	808.87
247.6	836.07
247.7	740.37
247.8	777.89
247.9	717.13
248	706.42
248.1	696.47
248.2	714.03
248.3	678.24
248.4	761.42
248.5	668.37
248.6	654.19
248.7	647.57
248.8	641.41
248.9	635.59
249	629.31
249.1	674.92
249.2	638.67
249.3	633.36
249.4	608.16
249.5	603.86
249.6	609.37
249.7	595.83
249.8	641.46
249.9	587.49
250	619.45
250.1	602.95
250.2	575.87
250.3	581.33
250.4	605.84
250.5	566.42
250.6	609.52
250.7	568.22
250.8	557.56
250.9	555.46
251	551.87
251.1	549.09
251.2	549.68
251.3	550.12
251.4	541.74
251.5	542.68
251.6	537.44
251.7	534.76
251.8	532.82
