Data from https://doi.org/10.1103/PhysRevMaterials.3.044406
Upon heating
Temperature(K)	Heat capacity(J/kg/K)

220	485.43
220.1	485.59
220.2	485.76
220.3	485.92
220.4	486.08
220.5	486.25
220.6	486.41
220.7	486.57
220.8	486.74
220.9	486.9
221	487.06
221.1	487.23
221.2	487.39
221.3	487.55
221.4	487.72
221.5	487.88
221.6	488.04
221.7	488.21
221.8	488.37
221.9	488.53
222	488.7
222.1	488.86
222.2	489.02
222.3	489.19
222.4	489.35
222.5	489.51
222.6	489.68
222.7	489.84
222.8	490
222.9	490.17
223	490.33
223.1	490.49
223.2	490.66
223.3	490.82
223.4	490.98
223.5	491.15
223.6	491.31
223.7	491.47
223.8	491.64
223.9	491.8
224	491.96
224.1	492.13
224.2	492.29
224.3	492.45
224.4	492.61
224.5	492.78
224.6	492.94
224.7	493.1
224.8	493.27
224.9	493.43
225	493.59
225.1	493.76
225.2	493.92
225.3	494.08
225.4	494.25
225.5	494.41
225.6	494.57
225.7	494.74
225.8	494.9
225.9	495.06
226	495.23
226.1	495.39
226.2	495.55
226.3	495.72
226.4	495.88
226.5	496.04
226.6	496.21
226.7	496.37
226.8	496.53
226.9	496.7
227	496.86
227.1	497.02
227.2	497.19
227.3	497.35
227.4	497.51
227.5	497.68
227.6	497.84
227.7	498
227.8	498.17
227.9	498.33
228	498.49
228.1	498.66
228.2	498.82
228.3	498.98
228.4	499.15
228.5	499.31
228.6	499.47
228.7	499.64
228.8	499.8
228.9	499.96
229	500.13
229.1	500.29
229.2	500.45
229.3	500.62
229.4	500.78
229.5	500.94
229.6	501.11
229.7	501.27
229.8	501.43
229.9	501.6
230	501.76
230.1	501.92
230.2	502.09
230.3	502.25
230.4	502.41
230.5	502.58
230.6	502.74
230.7	502.9
230.8	503.07
230.9	503.23
231	503.39
231.1	503.56
231.2	503.72
231.3	503.88
231.4	504.05
231.5	504.21
231.6	504.37
231.7	504.54
231.8	504.7
231.9	504.86
232	505.03
232.1	505.19
232.2	505.35
232.3	505.52
232.4	505.68
232.5	505.84
232.6	506.01
232.7	506.17
232.8	506.33
232.9	506.5
233	506.66
233.1	506.82
233.2	506.99
233.3	507.15
233.4	507.31
233.5	507.48
233.6	507.64
233.7	507.8
233.8	507.97
233.9	508.13
234	508.29
234.1	508.46
234.2	508.62
234.3	508.78
234.4	508.95
234.5	509.11
234.6	509.27
234.7	509.44
234.8	509.6
234.9	509.76
235	509.92
235.1	510.09
235.2	510.25
235.3	510.41
235.4	510.58
235.5	510.74
235.6	510.9
235.7	511.07
235.8	511.23
235.9	511.39
236	511.56
236.1	511.72
236.2	511.88
236.3	512.05
236.4	512.21
236.5	512.37
236.6	512.54
236.7	512.7
236.8	512.86
236.9	513.03
237	513.19
237.1	513.35
237.2	513.52
237.3	513.68
237.4	513.84
237.5	514.01
237.6	514.17
237.7	514.33
237.8	514.5
237.9	514.66
238	514.82
238.1	514.99
238.2	515.15
238.3	515.31
238.4	515.48
238.5	515.64
238.6	515.8
238.7	515.97
238.8	516.13
238.9	516.29
239	516.46
239.1	516.62
239.2	516.78
239.3	780.64
239.4	530.85
239.5	532.31
239.6	533.43
239.7	534
239.8	534.67
239.9	535.7
240	536.54
240.1	540.1
240.2	540.76
240.3	540.84
240.4	540.73
240.5	541.54
240.6	542.62
240.7	543.63
240.8	544.86
240.9	546.15
241	547.31
241.1	548.89
241.2	550.37
241.3	551.68
241.4	553.34
241.5	554.89
241.6	556.43
241.7	558.05
241.8	559.82
241.9	561.21
242	563
242.1	564.86
242.2	566.81
242.3	568.95
242.4	570.58
242.5	573.08
242.6	575.26
242.7	587.23
242.8	580.65
242.9	582
243	584.33
243.1	586.57
243.2	589.6
243.3	591.78
243.4	594.09
243.5	597.17
243.6	599.42
243.7	602.67
243.8	605.79
243.9	608.6
244	619.48
244.1	626
244.2	619.5
244.3	622.15
244.4	625.48
244.5	629.23
244.6	633.56
244.7	636.41
244.8	640.77
244.9	644
245	647.98
245.1	652.71
245.2	657.28
245.3	661.69
245.4	665.92
245.5	670.91
245.6	675.33
245.7	679.28
245.8	684.58
245.9	690.74
246	695.72
246.1	700.6
246.2	706.69
246.3	712.38
246.4	717.94
246.5	747.31
246.6	745.39
246.7	737.44
246.8	741.43
246.9	749.77
247	755.09
247.1	761.33
247.2	769.14
247.3	776.83
247.4	783.52
247.5	790.35
247.6	798.57
247.7	805.9
247.8	812.64
247.9	820.9
248	828.8
248.1	837.04
248.2	845.22
248.3	873.21
248.4	881.26
248.5	910.2
248.6	893.8
248.7	890.9
248.8	898.83
248.9	907.55
249	917.93
249.1	928.17
249.2	937.45
249.3	947.07
249.4	957.54
249.5	969.45
249.6	981.18
249.7	1006.32
249.8	1026.2
249.9	1018.39
250	1028.75
250.1	1040.47
250.2	1051.35
250.3	1067.34
250.4	1091.46
250.5	1114.5
250.6	1110.74
250.7	1122.03
250.8	1135.87
250.9	1150.87
251	1165.68
251.1	1183.55
251.2	1196.62
251.3	1214.18
251.4	1230.35
251.5	1375.93
251.6	1317.15
251.7	1289.87
251.8	1303.27
251.9	1335.08
252	1341.69
252.1	1362.36
252.2	1385.25
252.3	1521.39
252.4	1516.65
252.5	1461.34
252.6	1474.63
252.7	1491.82
252.8	1511.76
252.9	1535.05
