Data from VACUUMSCHMELZE GmbH & Co. KG, Germany (https://vacuumschmelze.com)
Specific heat capacity at no external magnetic field
Temperature(K)	Heat capacity(J/kg/K)

238.5621634	373.8908228
238.6621634	375.6003478
238.7621634	372.7126515
238.8621634	370.0280572
238.9621634	372.1837421
239.0621634	376.7348397
239.1621634	374.4230822
239.2621634	376.7261592
239.3621634	377.2859968
239.4621634	375.3660783
239.5621634	375.2283495
239.6621634	375.5484358
239.7621634	376.933634
239.8621634	372.0644326
239.9621634	378.0990696
240.0621634	373.8613895
240.1621634	382.4750635
240.2621634	379.5423763
240.3621634	379.1747554
240.4621634	380.8258432
240.5621634	375.8290467
240.6621634	381.5878556
240.7621634	379.9562643
240.8621634	386.446805
240.9621634	381.0829854
241.0621634	382.8847539
241.1621634	378.1563978
241.2621634	379.2243722
241.3621634	383.8721847
241.4621634	380.1516511
241.5621634	384.4077736
241.6621634	376.919642
241.7621634	377.7591486
241.8621634	376.5038687
241.9621634	374.746539
242.0621634	380.4474646
242.1621634	379.8319966
242.2621634	377.5472689
242.3621634	379.4691236
242.4621634	381.2718077
242.5621634	379.9879668
242.6621634	384.3564071
242.7621634	385.2771307
242.8621634	383.9147141
242.9621634	388.8704041
243.0621634	392.4531075
243.1621634	391.0796023
243.2621634	389.4581586
243.3621634	395.0951794
243.4621634	390.2538877
243.5621634	396.3358247
243.6621634	391.0483696
243.7621634	392.0470749
243.8621634	398.5048969
243.9621634	391.3957618
244.0621634	393.8833199
244.1621634	392.4618331
244.2621634	391.2559969
244.3621634	393.5994686
244.4621634	394.0599153
244.5621634	392.4434373
244.6621634	397.0761887
244.7621634	391.4303561
244.8621634	395.6553846
244.9621634	396.7006886
245.0621634	397.4462512
245.1621634	393.7343633
245.2621634	395.9422175
245.3621634	398.6998644
245.4621634	400.5603309
245.5621634	396.2048987
245.6621634	398.1973031
245.7621634	398.5856568
245.8621634	400.0967344
245.9621634	399.2268728
246.0621634	399.1282716
246.1621634	395.9629477
246.2621634	395.374296
246.3621634	398.4911652
246.4621634	399.4666521
246.5621634	398.1604449
246.6621634	395.4446483
246.7621634	395.2810683
246.8621634	397.462182
246.9621634	389.8974576
247.0621634	394.9661689
247.1621634	393.8046857
247.2621634	395.9207177
247.3621634	394.1648293
247.4621634	399.5966864
247.5621634	398.2818717
247.6621634	398.7596346
247.7621634	399.630753
247.8621634	404.8391285
247.9621634	405.9823036
248.0621634	407.3844444
248.1621634	407.8060511
248.2621634	409.7984921
248.3621634	407.8139778
248.4621634	411.3043583
248.5621634	410.2977424
248.6621634	415.5406239
248.7621634	416.1553312
248.8621634	418.8847355
248.9621634	413.8702429
249.0621634	409.8709676
249.1621634	416.2524133
249.2621634	415.7707463
249.3621634	413.6611921
249.4621634	419.3428155
249.5621634	417.5380734
249.6621634	416.4733882
249.7621634	419.3251552
249.8621634	420.0531715
249.9621634	420.3378907
250.0621634	423.3569838
250.1621634	415.0650331
250.2621634	423.6352253
250.3621634	419.045447
250.4621634	419.9388447
250.5621634	426.568231
250.6621634	421.4265564
250.7621634	426.5237614
250.8621634	422.944018
250.9621634	425.5696616
251.0621634	424.0434104
251.1621634	426.738648
251.2621634	431.6484068
251.3621634	429.2120341
251.4621634	427.7848515
251.5621634	430.6003432
251.6621634	424.4956687
251.7621634	429.0749434
251.8621634	430.70108
251.9621634	426.6104105
252.0621634	433.1024865
252.1621634	434.5731825
252.2621634	433.3948585
252.3621634	435.3593551
252.4621634	431.1235818
252.5621634	430.7516376
252.6621634	433.34283
252.7621634	432.9182147
252.8621634	435.8977088
252.9621634	435.7906714
253.0621634	435.6037538
253.1621634	433.0201949
253.2621634	440.6978506
253.3621634	437.5305289
253.4621634	440.0637629
253.5621634	440.2455644
253.6621634	443.7688954
253.7621634	440.8609209
253.8621634	441.1036858
253.9621634	440.4967797
254.0621634	443.406016
254.1621634	442.0488181
254.2621634	443.3322762
254.3621634	442.2592385
254.4621634	443.8201747
254.5621634	444.1462554
254.6621634	442.0400031
254.7621634	442.0106503
254.8621634	444.7475794
254.9621634	445.1452334
255.0621634	446.0217394
255.1621634	441.6420158
255.2621634	445.6353793
255.3621634	452.1449176
255.4621634	452.0574264
255.5621634	448.8375121
255.6621634	450.9793234
255.7621634	457.2214835
255.8621634	450.4952902
255.9621634	455.5777181
256.0621634	450.5563515
256.1621634	451.3553283
256.2621634	450.8064046
256.3621634	453.1212859
256.4621634	455.5237868
256.5621634	454.3278543
256.6621634	455.3615377
256.7621634	460.5189872
256.8621634	454.5345996
256.9621634	454.384812
257.0621634	455.0383728
257.1621634	457.190239
257.2621634	459.2425126
257.3621634	459.3004945
257.4621634	458.6809244
257.5621634	457.8181614
257.6621634	460.1608655
257.7621634	461.1132456
257.8621634	462.6604875
257.9621634	459.1837769
258.0621634	465.2376176
258.1621634	462.6575303
258.2621634	465.3313427
258.3621634	464.5204564
258.4621634	468.6326261
258.5621634	463.5980393
258.6621634	472.9197032
258.7621634	468.154236
258.8621634	471.1548682
258.9621634	469.1210437
259.0621634	471.4276053
259.1621634	470.4090235
259.2621634	472.9845345
259.3621634	469.3172784
259.4621634	469.1368961
259.5621634	469.9769415
259.6621634	471.1926568
259.7621634	475.3456203
259.8621634	475.4638592
259.9621634	476.3549287
260.0621634	475.5135701
260.1621634	476.3798523
260.2621634	477.6881999
260.3621634	475.3578639
260.4621634	482.2159756
260.5621634	481.1030375
260.6621634	483.9888659
260.7621634	483.5236879
260.8621634	481.8672041
260.9621634	481.0174863
261.0621634	484.499217
261.1621634	491.5878792
261.2621634	488.0992503
261.3621634	482.9215809
261.4621634	494.5659369
261.5621634	490.4634535
261.6621634	491.4280935
261.7621634	487.6421706
261.8621634	489.229587
261.9621634	496.3584539
262.0621634	492.5603355
