Data from VACUUMSCHMELZE GmbH & Co. KG, Germany (https://vacuumschmelze.com)
Specific heat capacity at B = 1.25 T
Temperature(K)	Heat capacity(J/kg/K)

238.4751883	424.8472174
238.5751883	419.7342425
238.6751883	431.119175
238.7751883	421.4251978
238.8751883	427.0981856
238.9751883	427.7864854
239.0751883	427.8464754
239.1751883	426.3532629
239.2751883	423.9142344
239.3751883	425.7952805
239.4751883	430.543692
239.5751883	429.6326296
239.6751883	432.5000704
239.7751883	429.621201
239.8751883	440.4931204
239.9751883	438.5882518
240.0751883	440.5592066
240.1751883	438.2063854
240.2751883	436.7315482
240.3751883	438.3283689
240.4751883	436.724702
240.5751883	439.6911761
240.6751883	438.9832261
240.7751883	438.6893865
240.8751883	435.3698129
240.9751883	440.1596353
241.0751883	437.4124621
241.1751883	441.211428
241.2751883	442.5162801
241.3751883	441.3386232
241.4751883	443.0993373
241.5751883	447.9471855
241.6751883	439.4777749
241.7751883	441.0665712
241.8751883	439.9959299
241.9751883	439.0581489
242.0751883	444.5564004
242.1751883	441.3584415
242.2751883	441.0026184
242.3751883	442.4190288
242.4751883	436.7392581
242.5751883	437.1024422
242.6751883	438.7678983
242.7751883	436.744178
242.8751883	436.6626007
242.9751883	434.8602452
243.0751883	436.7701574
243.1751883	440.0776437
243.2751883	440.3966077
243.3751883	437.6616758
243.4751883	440.1232461
243.5751883	442.9954787
243.6751883	440.2484594
243.7751883	443.6821158
243.8751883	442.0719622
243.9751883	447.5657234
244.0751883	445.425125
244.1751883	448.0355516
244.2751883	446.0449094
244.3751883	444.1615967
244.4751883	444.2948154
244.5751883	442.6017951
244.6751883	447.0647912
244.7751883	441.4870651
244.8751883	437.2096573
244.9751883	435.2229107
245.0751883	440.7480382
245.1751883	443.9288462
245.2751883	444.0528191
245.3751883	444.2732962
245.4751883	452.1978163
245.5751883	456.4425936
245.6751883	453.8287364
245.7751883	451.2404438
245.8751883	452.7421407
245.9751883	452.2975065
246.0751883	450.1890055
246.1751883	448.9966418
246.2751883	451.3173887
246.3751883	453.1714127
246.4751883	455.8794295
246.5751883	457.9996238
246.6751883	452.6426951
246.7751883	456.1659761
246.8751883	450.6539176
246.9751883	452.440308
247.0751883	451.9911846
247.1751883	450.9622805
247.2751883	453.3790881
247.3751883	452.7490073
247.4751883	454.5811193
247.5751883	454.6318761
247.6751883	455.681528
247.7751883	452.6335972
247.8751883	453.6871434
247.9751883	455.36588
248.0751883	465.1150237
248.1751883	459.7096513
248.2751883	464.9551801
248.3751883	460.2995936
248.4751883	462.2020603
248.5751883	462.1985131
248.6751883	461.0380701
248.7751883	461.3395111
248.8751883	456.889813
248.9751883	462.9093148
249.0751883	465.8758117
249.1751883	469.6199708
249.2751883	469.1427744
249.3751883	464.5633653
249.4751883	466.2586089
249.5751883	473.2467328
249.6751883	467.2347162
249.7751883	468.3992725
249.8751883	471.7214516
249.9751883	469.0988458
250.0751883	473.3977189
250.1751883	470.5694889
250.2751883	476.0071403
250.3751883	472.948966
250.4751883	475.151485
250.5751883	476.1921183
250.6751883	469.878263
250.7751883	468.6441225
250.8751883	471.7972858
250.9751883	472.9949709
251.0751883	474.8432329
251.1751883	475.1244887
251.2751883	477.5698858
251.3751883	478.5422248
251.4751883	471.6279406
251.5751883	476.9335806
251.6751883	477.8228429
251.7751883	474.228787
251.8751883	473.5838162
251.9751883	473.0276366
252.0751883	468.6152239
252.1751883	475.0438953
252.2751883	474.8024166
252.3751883	478.5676892
252.4751883	475.8433173
252.5751883	484.3696843
252.6751883	477.3241482
252.7751883	479.7057176
252.8751883	482.637863
252.9751883	478.4555697
253.0751883	480.9648729
253.1751883	482.2737989
253.2751883	486.5107987
253.3751883	483.3583219
253.4751883	485.4821724
253.5751883	483.5089457
253.6751883	486.2393808
253.7751883	486.6468481
253.8751883	484.4399015
253.9751883	487.8713446
254.0751883	487.1841154
254.1751883	483.606619
254.2751883	488.5911853
254.3751883	492.3681882
254.4751883	485.270694
254.5751883	490.4674241
254.6751883	488.6635132
254.7751883	486.5395563
254.8751883	488.8457638
254.9751883	490.9258528
255.0751883	490.7357059
255.1751883	482.7747134
255.2751883	489.7816118
255.3751883	488.3809267
255.4751883	486.5336783
255.5751883	489.3140667
255.6751883	488.7153777
255.7751883	490.7527245
255.8751883	490.7888081
255.9751883	488.8641375
256.0751883	489.4006929
256.1751883	488.3856962
256.2751883	487.0949175
256.3751883	488.4571044
256.4751883	490.6651265
256.5751883	489.0515287
256.6751883	491.9082712
256.7751883	494.7051892
256.8751883	493.3689799
256.9751883	493.3027259
257.0751883	495.6902445
257.1751883	496.0633663
257.2751883	493.0236627
257.3751883	497.2042307
257.4751883	498.8983091
257.5751883	498.6507738
257.6751883	497.1079076
257.7751883	505.1500549
257.8751883	506.1132394
257.9751883	502.3697109
258.0751883	507.83421
258.1751883	501.5629643
258.2751883	504.7934225
258.3751883	503.4555728
258.4751883	503.506915
258.5751883	508.5885769
258.6751883	510.1385058
258.7751883	503.5644016
258.8751883	508.517348
258.9751883	507.7363172
259.0751883	510.4271713
259.1751883	511.7675033
259.2751883	510.4982214
259.3751883	509.293375
259.4751883	508.7225008
259.5751883	511.9691759
259.6751883	510.088695
259.7751883	508.760409
259.8751883	510.2569616
259.9751883	510.2360048
260.0751883	506.1536137
260.1751883	513.3964828
260.2751883	510.8114246
260.3751883	510.6659379
260.4751883	512.9936319
260.5751883	511.102179
260.6751883	510.6251909
260.7751883	511.1444492
260.8751883	509.1774693
260.9751883	504.8659099
261.0751883	508.3617309
261.1751883	509.7361821
261.2751883	510.0591499
261.3751883	509.6273531
261.4751883	510.0268757
261.5751883	508.9320097
261.6751883	507.9255095
261.7751883	511.1809477
261.8751883	508.1482412
261.9751883	513.0048214
262.0751883	514.4679176
262.1751883	515.9824371
262.2751883	516.3911743
262.3751883	520.7824775
262.4751883	521.8204537
262.5751883	517.696388
262.6751883	521.890766
262.7751883	522.6740372
262.8751883	525.3374137
262.9751883	525.7431229
263.0751883	520.8452066
263.1751883	525.642217
263.2751883	530.86856
263.3751883	531.6232236
263.4751883	531.0719041
263.5751883	530.9107407
263.6751883	531.992762
263.7751883	531.7353171
263.8751883	525.9028574
263.9751883	525.1524912
264.0751883	532.5110375
264.1751883	531.9078887
264.2751883	530.1530342
264.3751883	532.4646855
264.4751883	534.5344359
264.5751883	534.4572011
264.6751883	530.4092712
264.7751883	531.3429875
264.8751883	529.9383553
264.9751883	532.0924922
265.0751883	530.4359639
265.1751883	531.5884665
265.2751883	542.3688041
265.3751883	541.6298315
265.4751883	543.0140174
265.5751883	550.7749729
265.6751883	551.8572754
265.7751883	553.7572711
265.8751883	555.0105744
265.9751883	553.6727692
266.0751883	554.654647
266.1751883	556.3014376
266.2751883	556.2736184
266.3751883	554.1245271
266.4751883	557.2975039
266.5751883	558.8891901
266.6751883	558.571372
266.7751883	558.6471818
266.8751883	557.4684641
266.9751883	559.624415
267.0751883	560.5230497
267.1751883	557.9423026
267.2751883	557.809748
267.3751883	563.8483892
267.4751883	557.8661696
267.5751883	560.3192478
267.6751883	560.0360352
267.7751883	561.8572685
267.8751883	565.9059657
267.9751883	565.5515833
268.0751883	567.1113267
268.1751883	563.7896098
268.2751883	562.7214791
268.3751883	561.424225
268.4751883	561.9896647
268.5751883	564.2544716
268.6751883	565.2368681
268.7751883	569.3773513
268.8751883	565.936325
268.9751883	566.1883185
269.0751883	571.9874089
269.1751883	568.8039871
269.2751883	568.1452329
269.3751883	570.206479
269.4751883	570.6371423
269.5751883	570.211307
269.6751883	569.7135388
269.7751883	571.1744319
269.8751883	568.7350225
269.9751883	572.1215199
270.0751883	575.066576
270.1751883	568.4760079
270.2751883	570.4198322
270.3751883	573.5907894
270.4751883	577.3593983
270.5751883	577.6038029
270.6751883	584.4698222
270.7751883	582.2528046
270.8751883	580.4942738
270.9751883	584.1622736
271.0751883	585.3270931
271.1751883	581.8685549
271.2751883	585.4798024
271.3751883	579.9129452
271.4751883	581.9984051
271.5751883	580.1595769
271.6751883	583.4497279
271.7751883	584.277668
271.8751883	586.9043218
271.9751883	580.1353524
272.0751883	582.1441693
272.1751883	583.8001852
272.2751883	582.8686304
272.3751883	587.4126244
272.4751883	586.2539203
272.5751883	588.0767222
272.6751883	590.8545189
272.7751883	593.1292384
272.8751883	599.3185145
272.9751883	604.7226077
273.0751883	608.1765624
273.1751883	604.4383931
273.2751883	610.4414287
273.3751883	610.8080449
273.4751883	611.1158274
273.5751883	611.3634334
273.6751883	617.6769059
273.7751883	618.6838488
273.8751883	619.6106847
273.9751883	618.4087587
274.0751883	619.3131985
274.1751883	623.7329272
274.2751883	624.2376439
274.3751883	625.1253612
274.4751883	630.6378218
274.5751883	627.0768259
274.6751883	632.00337
274.7751883	630.3910822
274.8751883	634.2081125
274.9751883	638.8225716
275.0751883	641.3510758
275.1751883	641.8783942
275.2751883	639.0767182
275.3751883	647.34126
275.4751883	649.2351189
275.5751883	646.9385976
275.6751883	652.3560581
275.7751883	650.0979421
275.8751883	652.5084015
275.9751883	656.6161863
276.0751883	653.7893254
276.1751883	654.6660709
276.2751883	658.5964897
276.3751883	656.5578608
276.4751883	659.0054239
276.5751883	660.3746478
276.6751883	664.2053388
276.7751883	661.9988606
276.8751883	662.4708595
276.9751883	659.7343007
277.0751883	661.5664692
277.1751883	663.6539511
277.2751883	663.4180787
277.3751883	669.35963
277.4751883	677.0755151
277.5751883	681.754694
277.6751883	682.6612034
277.7751883	690.8537933
277.8751883	686.6152436
277.9751883	689.2167747
278.0751883	693.0048895
278.1751883	690.5601566
278.2751883	687.8124459
278.3751883	692.5508773
278.4751883	696.4130721
278.5751883	694.1093669
278.6751883	702.5518485
278.7751883	700.5219978
278.8751883	704.7984599
278.9751883	704.668338
279.0751883	704.8145005
279.1751883	710.5214154
279.2751883	704.2276767
279.3751883	706.1114687
279.4751883	703.1979082
279.5751883	710.9094804
279.6751883	711.266138
279.7751883	708.3921883
279.8751883	708.5736723
279.9751883	710.8354743
280.0751883	709.8747398
280.1751883	715.1337982
280.2751883	714.1893909
280.3751883	719.2455013
280.4751883	719.2852777
280.5751883	717.5099237
280.6751883	722.1385468
280.7751883	722.8673334
280.8751883	727.9327951
280.9751883	729.0848867
281.0751883	729.4038695
281.1751883	726.0525475
281.2751883	732.7949437
281.3751883	727.3353447
281.4751883	731.555027
281.5751883	734.7204595
281.6751883	732.2663107
281.7751883	735.4848312
281.8751883	735.9746403
281.9751883	736.020988
282.0751883	739.000001
282.1751883	741.4327189
282.2751883	740.4981776
282.3751883	736.5513924
282.4751883	738.9035455
282.5751883	737.1494351
282.6751883	739.8831197
282.7751883	737.2341465
282.8751883	738.0371864
282.9751883	732.5570241
283.0751883	739.595404
283.1751883	737.2122564
283.2751883	734.2308964
283.3751883	732.6296818
283.4751883	733.47896
283.5751883	732.3304778
283.6751883	730.7032073
283.7751883	730.0736568
283.8751883	731.8977397
283.9751883	733.2945341
284.0751883	734.7605832
284.1751883	731.6845883
284.2751883	723.9704034
284.3751883	725.7993145
284.4751883	723.3000164
284.5751883	719.5006398
284.6751883	722.8119419
284.7751883	715.783129
284.8751883	714.1455713
284.9751883	717.0444775
285.0751883	716.1881625
285.1751883	713.8938135
285.2751883	708.0402608
285.3751883	709.5593059
285.4751883	709.3019288
285.5751883	706.3753773
285.6751883	706.6741891
285.7751883	706.552784
285.8751883	706.1675985
285.9751883	702.4895201
286.0751883	699.6944752
286.1751883	700.7618223
286.2751883	693.5263701
286.3751883	692.6890374
286.4751883	692.2594713
286.5751883	688.9395868
286.6751883	684.1052269
286.7751883	681.7495485
286.8751883	683.4520636
286.9751883	677.7639198
287.0751883	674.7267806
287.1751883	671.4922681
287.2751883	673.1337623
287.3751883	666.6017947
287.4751883	666.0881847
287.5751883	664.6431792
287.6751883	660.6451061
287.7751883	661.0060485
287.8751883	655.3418463
287.9751883	652.5208924
288.0751883	650.8444009
288.1751883	649.0548013
288.2751883	648.4615434
288.3751883	645.1718376
288.4751883	638.9006031
288.5751883	640.5650955
288.6751883	639.1531364
288.7751883	635.2271714
288.8751883	629.9030444
288.9751883	631.5747138
289.0751883	628.4764919
289.1751883	627.2090917
289.2751883	623.0211939
289.3751883	621.0260615
289.4751883	618.0251863
289.5751883	616.3890412
289.6751883	615.9287687
289.7751883	610.3527529
289.8751883	609.2348667
289.9751883	610.0683184
290.0751883	605.9675491
290.1751883	600.9995369
290.2751883	602.5862036
290.3751883	599.1765679
290.4751883	599.275607
290.5751883	600.5310748
290.6751883	594.9984888
290.7751883	594.1827535
290.8751883	591.9396599
290.9751883	587.5364553
291.0751883	584.6168421
291.1751883	584.7851113
291.2751883	578.8531322
291.3751883	575.756227
291.4751883	578.1940595
291.5751883	584.3654938
291.6751883	575.6553726
291.7751883	578.8656154
291.8751883	575.567961
291.9751883	573.7671554
292.0751883	574.5449013
292.1751883	563.4265206
292.2751883	566.2382215
292.3751883	567.1587988
292.4751883	565.5949892
292.5751883	564.0326592
292.6751883	560.8538495
292.7751883	559.9446186
292.8751883	561.2222625
292.9751883	557.9934915
293.0751883	553.7082362
293.1751883	558.8453451
293.2751883	546.1564133
293.3751883	546.8387832
293.4751883	548.6494109
293.5751883	550.8250696
293.6751883	549.8106144
293.7751883	545.9900507
293.8751883	545.1274126
293.9751883	546.3376569
294.0751883	543.8750276
294.1751883	539.9113828
294.2751883	536.3462638
294.3751883	535.5164155
294.4751883	534.6366447
294.5751883	536.3902152
294.6751883	534.9821339
294.7751883	534.0759179
294.8751883	529.6956915
294.9751883	525.4439343
295.0751883	522.7247874
295.1751883	521.5864493
295.2751883	522.1708384
295.3751883	524.2603144
295.4751883	521.5873487
295.5751883	519.9131378
295.6751883	518.2384467
295.7751883	516.8699668
295.8751883	515.0656395
295.9751883	513.9009883
296.0751883	515.2921089
296.1751883	514.8732775
296.2751883	513.6400982
296.3751883	514.256302
296.4751883	512.1067683
296.5751883	514.3439125
296.6751883	511.3802925
296.7751883	508.6346996
296.8751883	509.4838468
296.9751883	509.6596797
297.0751883	512.0771708
297.1751883	511.0428335
297.2751883	509.5724074
297.3751883	510.4327448
297.4751883	508.5374438
297.5751883	507.5113231
297.6751883	512.2811555
297.7751883	504.7035964
297.8751883	503.9158331
297.9751883	502.5850949
298.0751883	503.8446877
298.1751883	502.2239976
298.2751883	504.4941349
298.3751883	500.9753838
298.4751883	501.9960774
298.5751883	500.6656623
298.6751883	499.4726538
298.7751883	496.5920371
298.8751883	495.78749
298.9751883	495.3886638
299.0751883	497.6940795
299.1751883	492.178721
299.2751883	493.871228
299.3751883	491.361055
299.4751883	493.6427076
299.5751883	491.7403134
299.6751883	488.3651633
299.7751883	493.1627292
299.8751883	489.1798433
299.9751883	488.9752685
300.0751883	488.7382055
300.1751883	489.8883645
300.2751883	489.4579392
300.3751883	485.9511471
300.4751883	484.2905142
300.5751883	481.2467993
300.6751883	481.5385672
300.7751883	481.0653361
300.8751883	480.4506105
300.9751883	482.9986019
301.0751883	479.4375738
301.1751883	479.1379333
301.2751883	482.1259596
301.3751883	482.400121
301.4751883	479.2650408
301.5751883	479.4599202
301.6751883	477.3855928
301.7751883	477.1045182
301.8751883	477.0241078
301.9751883	474.3792644
302.0751883	473.1314051
302.1751883	473.5526622
302.2751883	469.8449635
302.3751883	471.9016558
302.4751883	473.6812551
302.5751883	474.743311
302.6751883	472.4333553
302.7751883	473.8727806
302.8751883	471.1528983
302.9751883	472.1478839
303.0751883	470.469547
303.1751883	471.1951087
303.2751883	467.6650197
303.3751883	468.9780504
303.4751883	471.1051321
303.5751883	470.6179966
303.6751883	475.0551491
303.7751883	470.5134233
303.8751883	470.348867
303.9751883	468.2032298
304.0751883	468.9775676
304.1751883	469.7535707
304.2751883	470.0542867
304.3751883	465.7416822
304.4751883	467.8948633
304.5751883	466.7787231
304.6751883	465.873287
304.7751883	465.8594538
304.8751883	466.028198
304.9751883	462.5765057
305.0751883	462.6544546
305.1751883	465.5833296
305.2751883	461.5211824
305.3751883	460.8640721
305.4751883	460.5169924
305.5751883	460.1825807
305.6751883	462.144464
305.7751883	458.9670198
305.8751883	460.9791965
305.9751883	457.3674175
306.0751883	459.5441993
306.1751883	459.2546152
306.2751883	458.7294672
306.3751883	458.2488625
306.4751883	459.3128192
306.5751883	458.7782931
306.6751883	457.3664455
306.7751883	456.4555609
306.8751883	456.4418246
306.9751883	456.2583533
307.0751883	454.6472258
307.1751883	450.8164085
307.2751883	455.5326346
307.3751883	453.9100467
307.4751883	452.3729114
307.5751883	454.9634666
307.6751883	452.5662404
307.7751883	449.964547
307.8751883	451.8402688
307.9751883	455.6401337
308.0751883	452.9284968
308.1751883	450.579626
308.2751883	453.027086
308.3751883	451.0168348
308.4751883	452.1790576
308.5751883	450.9263557
308.6751883	450.6518242
308.7751883	448.3267799
308.8751883	448.3556078
308.9751883	448.1828168
309.0751883	448.6211602
309.1751883	450.3010571
309.2751883	447.9966447
309.3751883	447.0564846
309.4751883	443.1442548
309.5751883	446.1384475
309.6751883	444.6721908
309.7751883	443.0537601
309.8751883	442.7307588
309.9751883	439.4883443
310.0751883	443.5086929
310.1751883	440.9206826
310.2751883	439.7661305
310.3751883	442.67114
310.4751883	442.1756474
310.5751883	439.3102755
310.6751883	437.3412747
310.7751883	439.5155957
310.8751883	438.9413173
310.9751883	440.9869458
311.0751883	439.7214773
311.1751883	439.193858
311.2751883	438.0884588
311.3751883	440.3490634
311.4751883	439.369466
311.5751883	443.2639583
311.6751883	438.5931511
311.7751883	438.4332265
311.8751883	440.2012427
311.9751883	437.1846456
312.0751883	436.6307012
312.1751883	438.5691589
312.2751883	439.7220856
312.3751883	439.0407051
312.4751883	435.0215304
312.5751883	434.8312638
312.6751883	434.3731551
312.7751883	431.6019086
312.8751883	433.5117629
312.9751883	433.9428443
313.0751883	434.6089818
313.1751883	432.6620707
313.2751883	433.2736427
313.3751883	429.2664536
313.4751883	427.7102708
313.5751883	427.4481466
313.6751883	426.4264695
313.7751883	423.2767144
313.8751883	421.4511376
313.9751883	423.4488395
314.0751883	419.6673651
314.1751883	420.1974538
314.2751883	416.1228354
314.3751883	417.4325638
314.4751883	415.8575348
314.5751883	416.6067464
314.6751883	410.9648165
314.7751883	411.583633
314.8751883	404.4821936
314.9751883	404.1608027
315.0751883	398.9869256
315.1751883	393.8266113
315.2751883	389.724393
315.3751883	384.1691253
315.4751883	376.8768554
