Data from VACUUMSCHMELZE GmbH & Co. KG, Germany (https://vacuumschmelze.com)
Specific heat capacity at B = 1 T
Temperature(K)	Heat capacity(J/kg/K)

238.4950247	412.9872921
238.5950247	412.6392957
238.6950247	412.3830356
238.7950247	408.6679636
238.8950247	413.7771253
238.9950247	415.0589096
239.0950247	412.8978343
239.1950247	415.95998
239.2950247	412.9178579
239.3950247	420.6319693
239.4950247	414.416809
239.5950247	416.5650684
239.6950247	416.0324928
239.7950247	415.2996425
239.8950247	414.2523214
239.9950247	414.1220806
240.0950247	414.8623582
240.1950247	419.4420833
240.2950247	413.0132384
240.3950247	416.3356637
240.4950247	412.4122066
240.5950247	420.3826043
240.6950247	420.3651713
240.7950247	416.706441
240.8950247	418.4266618
240.9950247	419.2517934
241.0950247	415.9549138
241.1950247	416.5832975
241.2950247	413.9003346
241.3950247	420.2426489
241.4950247	419.6894664
241.5950247	420.4376793
241.6950247	421.1817389
241.7950247	424.9411668
241.8950247	422.6847424
241.9950247	423.0964446
242.0950247	422.9866277
242.1950247	424.4110934
242.2950247	421.714192
242.3950247	423.6310351
242.4950247	428.1973583
242.5950247	429.8498549
242.6950247	426.7871628
242.7950247	428.3441694
242.8950247	430.4143964
242.9950247	426.8061513
243.0950247	428.7280333
243.1950247	428.2514591
243.2950247	426.2377679
243.3950247	428.0773987
243.4950247	426.0700674
243.5950247	426.9332031
243.6950247	433.5979858
243.7950247	429.8664381
243.8950247	431.4319166
243.9950247	434.4711512
244.0950247	434.8620285
244.1950247	435.7860251
244.2950247	434.3338166
244.3950247	434.5464718
244.4950247	437.1742804
244.5950247	435.8424724
244.6950247	436.5556578
244.7950247	435.9343392
244.8950247	441.5672195
244.9950247	439.8785492
245.0950247	436.6013511
245.1950247	434.2993519
245.2950247	436.8145234
245.3950247	437.5624684
245.4950247	437.8046954
245.5950247	439.433976
245.6950247	433.0852686
245.7950247	434.4624336
245.8950247	440.0815323
245.9950247	436.6740629
246.0950247	438.3731184
246.1950247	439.0282734
246.2950247	434.4224824
