Data from https://vacuumschmelze.com/products/Further-Technologies/Magnetocaloric-Material--CALORIVAC datasheet on 27th April 2012.
Adiabatic temperature change in magnetic field B = 1.25 T.
Temperature(K)	Temperature change(K)

276.77	0.85
278.17	0.93
279.32	1.01
280.57	1.09
281.56	1.18
282.65	1.29
283.84	1.38
284.57	1.5
285.45	1.58
286.17	1.68
286.85	1.75
287.57	1.84
288.35	1.92
288.82	1.99
289.44	2.05
290.17	2.09
290.9	2.12
291.63	2.11
292.27	2.08
292.85	2.02
293.48	1.94
294.27	1.84
294.96	1.74
295.75	1.66
296.23	1.58
297.02	1.46
297.81	1.38
298.45	1.3
298.98	1.24
299.71	1.16
300.35	1.08
301.3	0.99
