Data combined from Torres 2019 (10.1021/acs.jpcc.9b09299) and from Momenzadeh 2018 (10.1016/j.cocom.2018.e00342)
Temperature(K)	Thermal conductivity(W/m/K)

100.03	22.99
106.52	22.16
107.82	21.51
112.15	20.7
115.19	20.03
119.52	18.94
123.85	18.22
129.91	17.38
134.24	16.68
139	16.05
145.07	15.2
150.7	14.42
157.19	13.95
167.59	13.16
172.79	12.6
181.01	12.07
189.24	11.45
197.04	10.84
200.94	10.68
207.43	10.51
214.36	10.34
223.89	10.05
235.58	9.79
247.71	9.51
260.7	9.16
271.53	8.9
288.85	8.51
305.74	8.08
321.76	7.73
337.36	7.49
354.25	7.12
370.27	6.92
383.7	6.69
399.72	6.45
417.91	6.16
436.1	5.99
453.42	5.79
467.71	5.66
482	5.51
496.3	5.38
514.49	5.3
534.41	5.16
550.43	5.01
566.46	4.93
580.75	4.88
597.2	4.77
617.13	4.64
635.32	4.56
649.17	4.54
665.63	4.53
681.22	4.49
699.84	4.43
715	4.36
731.46	4.32
746.18	4.28
761.77	4.27
777.8	4.25
799.45	4.21


