Data from Leitner 1999 (10.1016/S0040-6031(00)00352-X)
Temperature(K)	Specific heat capacity(J/kg/K)

300.69	535.84
304.96	540.36
308.01	543.38
310.44	546.9
315.32	552.69
320.2	558.22
323.23	563
326.88	567.78
331.76	573.32
336.64	578.6
342.73	586.14
352.55	591.67
358.68	596.2
370.97	602.73
382.03	608.76
396.19	614.03
410.36	618.3
424.54	622.06
441.82	625.07
458.48	628.32
477.62	630.82
494.92	632.82
511.6	634.31
526.43	635.56
540.64	637.05
557.94	638.3
575.86	640.04
593.16	641.03
616.65	642.52
638.89	644.51
663	645.75
684.01	647.49
699.45	649.24
725.4	651.98
749.49	654.22
778.53	657.22
801.39	659.46
824.86	661.7
853.9	664.95
877.37	667.69
904.54	670.69
926.15	673.94
949	676.69
971.86	679.43
998.4	683.43
1025.58	686.43
1054.6	690.43
1078.69	693.68
1100.3	696.93
1126.84	701.44
