Cp data is from Thermomechanical Data of Pure Substances - Ihsan Barin - Page 1303
J/mol K is converted to J/KgK using 303.1 g/mol molecular Wt. from CRC handbook of Chemistry and Physics.

Note: looks like there are changes/transformations in this temperature range (at 763 K)

Original data
Temperature (K)	Specific heat capacity (J/mol/K)

298.15	104.402	SOL-A
300	104.686
400	115.325
500	121.21
600	125.226
700	128.358
763	130.074
	
763	124.183	SOL-B
800	125.234
900	127.952
1000	130.545
1100	133.057
1200	135.513
1300	137.931
1400	140.32
1500	142.688
1559	144.077



Converted data
Temperature (K)	Specific heat capacity (J/kg/K)

298.15	344.4473771
300	345.3843616
400	380.4849885
500	399.9010228
600	413.1507753
700	423.4839987
763	429.1454965
	
763	409.7096668
800	413.1771693
900	422.1445068
1000	430.6994391
1100	438.987133
1200	447.0900693
1300	455.0676344
1400	462.9495216
1500	470.7621247
1559	475.3447707
