From Tachibana 2008 (http://dx.doi.org/10.1063/1.2978072)

Temperature (K)	Thermal conductivity (W/m/K)

1.9792	0.21
2.1327	0.24
2.2201	0.26
2.2881	0.26
2.4373	0.29
2.4233	0.32
2.6149	0.32
2.7694	0.34
2.9038	0.38
3.1109	0.42
3.3956	0.47
3.5963	0.51
3.7925	0.56
4.0630	0.61
4.3842	0.66
4.5904	0.70
4.7855	0.74
5.0105	0.80
5.2460	0.85
5.5640	0.90
5.8256	0.95
6.1788	1.02
6.4322	1.07
6.6577	1.11
6.7831	1.16
7.0613	1.22
7.4786	1.31
7.9320	1.40
8.2101	1.48
8.7078	1.59
9.2224	1.71
9.7816	1.83
10.3597	1.92
10.9720	2.06
11.6371	2.22
12.0451	2.31
12.4852	2.42
12.9973	2.52
13.7655	2.69
14.6000	2.81
15.4629	3.09
16.6853	3.32
17.6714	3.57
18.7428	3.84
20.1955	4.13
21.4198	4.44
23.5147	4.88
24.9045	5.09
26.4144	5.48
28.4616	5.89
30.7116	6.34
32.5268	6.62
33.7154	6.91
35.0982	7.21
36.3285	7.54
38.5309	7.87
40.8082	8.21
42.2387	8.59
44.7994	8.97
47.4472	9.36
49.1810	9.56
52.0877	10.00
55.2455	10.22
58.5107	10.44
62.0579	10.67
64.6032	10.67
69.6103	10.67
73.8304	10.67
78.1940	10.44
84.3756	10.22
91.0458	10.00
98.1024	9.56
104.0499	9.36
116.2111	8.71
132.8095	8.10
145.5896	7.54
159.8288	7.00
175.4607	6.66
189.3316	6.38
204.0059	6.10
220.1335	5.81
241.6633	5.56
264.9183	5.32
285.8612	5.20
319.2724	4.95
350.4985	4.74
377.6643	4.53
