Data From: Large Electrocaloric Effect in Ferroelectric Polymers Near Room Temperature. Bret Neese, Baojin Chu, Sheng-Guo Lu, Yong Wang, E. Furman, Q. M. Zhang. SCIENCE VOL 321 8 AUGUST 2008. DOI: 10.1126/science.1159655. Fig 1(a) The dielectric constant (K) of P(VDF-TrFE) 55/45 mol % copolymer films as a function of temperature measured at frequencies of 1, 10, and 100 kHz.

@ 100 kHz

IMPORTNAT NOTE: In this paper they dont mention it, but in the thesis on Neese, it says that a totaly different sample, thickness of 9 microns made by solution casting from DMF at 70-80 degrees C with simillar annealing, has been used for DSC and determinning the 
		Owing to the nature of the graph and the overlaps in it, it was not possible to exactly pin point all the data points, therefore, small errors should be expected. The data in the thesis was not much better.


T (degrees C)	K 

20.3601	11.42
21.1335	11.70
22.2113	11.96
23.2383	12.48
26.4209	13.00
28.4750	13.63
30.5798	14.50
32.5832	15.11
34.6373	15.91
36.6914	16.86
38.8469	17.84
40.8376	18.62
42.7903	19.68
44.8951	20.55
45.8714	21.09
48.0270	22.05
50.1825	23.63
52.2366	24.69
54.2907	25.99
56.3955	27.86
57.3211	28.81
58.3989	29.96
59.5781	31.35
60.3515	32.76
61.5815	34.95
62.5578	37.51
63.6356	41.02
64.6119	46.29
65.5882	52.34
66.7167	57.18
67.6423	59.98
68.8215	61.21
69.6457	62.17
70.5586	62.45
71.6998	62.71
72.7776	62.53
73.7919	62.36
74.8824	62.27
75.9601	61.65
76.9745	61.13
78.1157	60.78
78.9779	60.06
80.1064	59.46
81.0320	58.93
82.2619	58.13
83.2890	57.53
84.3667	56.83
85.3938	56.12
86.3701	55.34
87.2957	54.62
88.3735	53.93
89.3498	53.23
90.4276	52.52
91.3025	51.74
92.3295	51.11
93.5087	50.41
94.5358	49.52
95.4107	49.00
96.4884	48.22
97.6676	47.51
98.5933	46.73
99.6203	46.12
