Data From: Large Electrocaloric Effect in Ferroelectric Polymers Near Room Temperature. Bret Neese, Baojin Chu, Sheng-Guo Lu, Yong Wang, E. Furman, Q. M. Zhang. SCIENCE VOL 321 8 AUGUST 2008. DOI: 10.1126/science.1159655. Fig 3 (a) The dielectric constant (K) of P(VDF-TrFE-CFE) 59.2/33.6/7.2 mol % terpolymer films as a function of temperature measured at frequencies of 1, 10, and 100 kHz.


at 1 kHz

IMPORTNAT NOTE: In this paper they dont mention it, but in the thesis on Neese, it says that a totaly different sample, thickness of 10 microns made by solution casting from DMF at 70-80 degrees C with simillar annealing, has been used for DSC and determinning the 
		Owing to the nature of the graph and the overlaps in it, it was not possible to exactly pin point all the data points, therefore, small errors should be expected. The data in the thesis was not much better.


T (degrees C)	K

-30.5805	8.23
-25.4222	8.16
-22.4291	8.59
-20.8795	8.66
-19.0752	9.29
-17.0161	10.02
-14.8509	10.96
-12.7070	11.96
-10.5630	13.04
-8.5039	14.76
-6.0840	16.78
-4.0249	18.78
-1.8810	21.51
0.0083	24.25
1.9824	27.62
4.2113	30.84
6.3765	34.43
8.7752	38.24
10.7494	41.61
12.8084	45.00
14.6977	47.87
16.7568	49.80
18.5611	51.45
20.8112	52.75
22.6155	53.24
24.7595	53.76
26.3091	53.97
27.8375	53.90
29.9178	53.53
31.5523	53.10
33.3566	52.39
35.8402	51.73
38.2389	50.88
40.9136	50.01
43.3123	49.00
45.7110	48.01
48.2158	47.07
50.1900	45.99
52.7585	44.84
54.8388	44.41
56.9828	43.26
63.6694	40.47
76.1300	36.02
99.2467	27.90
