Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Thermal conductivity (W/m/K)

1.87	35.29
3.96	203.58
6.57	431.98
9.17	744.52
13.87	1093.13
17.52	1381.63
24.82	1706.19
27.95	1754.28
38.37	1585.98
43.59	1489.82
58.71	1297.48
75.4	1033.02
87.39	852.71
99.9	672.4
118.68	504.11
135.88	335.81
161.96	263.69
186.99	227.63
202.41	192.58
240.43	160.13
287.38	135.55
347.76	111.95
408.13	89.34
479.69	78.53
533.35	69.68
618.32	58.86
680.94	51
763.67	42.15
850.88	38.21
955.97	33.3
1029.77	32.31
1125.92	29.36
1253.37	24.45
1358.47	23.47
1454.62	34.28
1555.25	37.23
1644.69	39.2
1796.74	48.05
1895.13	54.93
1973.39	59.84
