Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Thermal conductivity (W/m/K)

0.66	9.78
2.34	88.01
3.44	208.21
5.06	352.05
5.61	502.96
7.37	670.37
9	814.2
10.35	946.25
11.84	1050
13.74	1153.75
15.51	1212.69
18.08	1189.11
20.39	1141.96
23.37	1073.58
26.89	1005.2
30.69	922.67
33.27	847.21
37.34	764.69
41.81	686.87
46.56	601.99
51.98	531.25
57.27	479.38
63.37	415.71
68.66	349.69
73.81	319.04
78.56	283.67
86.28	241.23
95.23	212.93
102.55	194.07
110.55	177.56
118.55	158.7
125.61	149.27
134.15	139.83
142.28	130.4
150.83	123.33
159.23	123.33
208.45	85.6
227.98	80.89
266.89	64.38
287.91	52.59
227.83	83.74
263.55	64.04
299.28	59.11
326.24	56.65
352.53	44.33
376.79	44.33
404.43	41.87
426	32.02
455.66	29.56
492.06	24.63
516.32	24.63
553.39	24.63
594.51	22.17
634.28	27.09
671.35	32.02
732.69	22.17
772.46	24.63
829.08	24.63
868.18	22.17
891.09	19.7
926.14	17.24
972.65	14.78
1013.1	14.78
1072.41	9.85
1100.05	9.85
1149.25	9.85
1165.43	12.32
1250.36	22.17
1289.46	22.17
1313.72	24.63
1354.16	24.63
1377.76	24.63
1433.03	27.09

