Data from Desorbo 1953 (http://dx.doi.org/10.1063/1.1699050) and
Victor 1962 (http://dx.doi.org/10.1063/1.1701288)

Temperature(K)	Heat capacity(cal/g-atom/K)	Heat capacity(J/kg/K)

25	0.0012	0.418331391
30	0.0018	0.627497086
40	0.0034	1.185272273
50	0.0054	1.882491257
60	0.0089	3.10262448
70	0.0154	5.368586178
75	0.0203	7.076772689
80	0.0262	9.133568693
90	0.0418	14.57187677
100	0.059	20.56796003
110	0.082	28.58597835
120	0.112	39.04426311
125	0.1295	45.14492923
130	0.1481	51.62906578
140	0.1899	66.20094255
150	0.2391	83.35252956
160	0.2941	102.5260516
170	0.3516	122.5710974
175	0.3829	133.4825745
180	0.4156	144.8821049
190	0.4842	168.7967161
200	0.5584	194.6635404
210	0.6382	222.4825779
220	0.7223	251.8006361
225	0.7653	266.7908443
230	0.8078	281.6067477
240	0.8953	312.1100783
250	0.9884	344.565622
260	1.0859	378.5550475
270	1.1829	412.3701682
275	1.2319	429.4520333
280	1.281	446.5687594
290	1.379	480.7324896
298.16	1.4615	509.4927727
300	1.4805	516.116353
320	1.679	585.3153372
340	1.878	654.6886261
360	2.073	722.6674771
380	2.263	788.9032806
400	2.446	852.6988177
420	2.621	913.7054788
440	2.788	971.9232639
460	2.947	1027.352173
480	3.098	1079.992206
500	3.242	1130.191973
550	3.568	1243.838668
600	3.852	1342.843764
650	4.098	1428.601699
700	4.312	1503.20413
750	4.497	1567.696886
800	4.66	1624.520233
850	4.803	1674.371391
900	4.932	1719.342015
950	5.05	1760.477935
1000	5.162	1799.522198
1050	5.27	1837.172023
1100	5.38	1875.519067




