Data from Berman 1975 (10.1088/0022-3719/8/21/003) and
Burgemeister 1977 (10.1016/0378-4363(78)90123-7)
Temperature(K)	Thermal conductivity(W/m/K)

1.92351865	3.630780548
2.373198081	6.711283048
2.828008333	9.929890158
3.316690556	15.53777717
3.889817479	24.90290432
4.525767916	36.84587623
5.141285187	46.83338575
5.794152171	69.85004121
6.904569304	109.2977222
8.227791722	172.3962353
10.45008188	324.2151713
12.158577	475.882791
14.25958935	676.5155411
16.07034576	887.8371908
17.68315617	1058.576436
21.75461153	1566.250098
25.31129634	2280.633795
29.21569559	2830.124595
34.81472164	4088.158994
38.92421975	4952.917694
52.27388932	7446.367128
64.30968231	8598.930611
80.38783664	9540.767955
103.7406996	8807.671556
120.701378	7874.989801
149.6804195	6929.381056
158.2681355	5765.451635
188.599346	4683.338575
205.8797018	3927.956474
228.3543587	3401.47017
257.3519762	2922.095762
285.4455538	2373.649918
299.4267273	2156.502669
319.2210806	1860.8643
324.3289421	1809.795305
329.2695386	1750.359117
333.2761493	1697.592272
338.8649647	1628.191636
344.80805	1570.343635
349.2676553	1527.247601
356.7389733	1464.810962
362.7212444	1397.129497
371.3214688	1343.746408
377.2629894	1271.003723
384.7510434	1219.042796
390.3169068	1182.29317
395.9632868	1140.287491
404.433489	1090.631319
412.460833	1048.959256
420.0120343	1008.879445
425.122816	967.6346325
432.5787097	935.8561691
439.5004084	900.0979281
448.2237735	860.9013068
