Data from Thermal Conductivity of InAs/GaSb Type II Superlattice CHUANLE ZHOU,1,3 B. -M. NGUYEN,2 M. RAZEGHI,2 and M. GRAYSON, Journal of ELECTRONIC MATERIALS, Vol. 41, No. 9, 2012
DOI: 10.1007/s11664-012-2146-y

It is cross ref but the data is for bulk.

Temperature (K)	Thermal conductivity (W/m/K)

2.2963	263.90
2.6066	310.39
2.6454	374.31
2.8693	429.41
3.0627	492.62
3.3218	579.41
3.6029	760.95
3.8458	872.96
4.2333	974.73
4.3015	1177.91
4.6598	1348.48
4.5242	1629.56
5.0541	1865.53
5.4818	2140.12
5.7655	2517.21
6.3464	2960.73
6.8834	3305.89
7.6897	3896.47
10.1057	3896.47
12.2447	3698.98
13.2808	3424.91
15.3755	3067.32
17.1765	2673.76
18.9072	2389.62
21.1478	1932.70
23.9765	1643.18
30.4049	1035.35
36.8405	729.94
61.3964	307.82
72.2265	233.90
94.9196	128.73
109.8908	106.75
135.1317	77.00
168.8502	60.12
195.4822	49.85
205.5993	48.62


Data for higher temperatures is from Muthaiah, Garg (2021), doi:10.1016/j.commatsci.2021.110531

99.1453	117.2747
201.7094	48.8181
297.4359	32.0030
398.2906	22.9014
500.8547	18.4687
600.0000	15.1332
704.2735	13.0073
801.7094	11.4505
996.5812	9.2342
