Data from Coolprop (www.coolprop.org)
Temperature(K)	Specific heat capacity(J/kg/K)

100	5194.97
110	5194.61
120	5194.33
130	5194.12
140	5193.95
150	5193.82
160	5193.71
170	5193.62
180	5193.55
190	5193.49
200	5193.44
210	5193.4
220	5193.36
230	5193.33
240	5193.3
250	5193.28
260	5193.26
270	5193.24
280	5193.22
290	5193.21
300	5193.2
310	5193.19
320	5193.18
330	5193.17
340	5193.16
350	5193.15
360	5193.15
370	5193.14
380	5193.14
390	5193.13
400	5193.13
410	5193.13
420	5193.12
430	5193.12
440	5193.12
450	5193.12
460	5193.11
470	5193.11
480	5193.11
490	5193.11
500	5193.11
510	5193.11
520	5193.11
530	5193.11
540	5193.1
550	5193.1
560	5193.1
570	5193.1
580	5193.1
590	5193.1
600	5193.1
610	5193.1
620	5193.1
630	5193.1
640	5193.1
650	5193.1
660	5193.1
670	5193.1
680	5193.1
690	5193.1
700	5193.1
710	5193.1
720	5193.1
730	5193.1
740	5193.1
750	5193.1
760	5193.1
770	5193.1
780	5193.1
790	5193.1
800	5193.1
810	5193.1
820	5193.1
830	5193.1
840	5193.1
850	5193.1
860	5193.1
870	5193.1
880	5193.1
890	5193.1
900	5193.11
910	5193.11
920	5193.11
930	5193.11
940	5193.11
950	5193.11
960	5193.11
970	5193.11
980	5193.11
990	5193.11
1000	5193.11
