Data from Coolprop (www.coolprop.org)
Temperature(K)	Thermal conductivity(W/m/K)

100	0.0737127
110	0.0785856
120	0.0833323
130	0.0879661
140	0.0924981
150	0.0969373
160	0.101292
170	0.105568
180	0.109772
190	0.113908
200	0.117982
210	0.121997
220	0.125957
230	0.129865
240	0.133723
250	0.137535
260	0.141303
270	0.145029
280	0.148715
290	0.152362
300	0.155973
310	0.159549
320	0.163092
330	0.166602
340	0.170081
350	0.17353
360	0.176951
370	0.180344
380	0.18371
390	0.187051
400	0.190366
410	0.193657
420	0.196925
430	0.20017
440	0.203392
450	0.206594
460	0.209774
470	0.212935
480	0.216076
490	0.219197
500	0.2223
510	0.225385
520	0.228452
530	0.231502
540	0.234534
550	0.237551
560	0.240551
570	0.243536
580	0.246505
590	0.249459
600	0.252399
610	0.255324
620	0.258235
630	0.261133
640	0.264016
650	0.266887
660	0.269745
670	0.272589
680	0.275422
690	0.278242
700	0.28105
710	0.283847
720	0.286631
730	0.289405
740	0.292167
750	0.294919
760	0.297659
770	0.300389
780	0.303108
790	0.305818
800	0.308517
810	0.311206
820	0.313886
830	0.316555
840	0.319216
850	0.321867
860	0.324509
870	0.327142
880	0.329765
890	0.332381
900	0.334987
910	0.337585
920	0.340175
930	0.342756
940	0.345329
950	0.347894
960	0.350451
970	0.353
980	0.355542
990	0.358076
1000	0.360602
