Data from Coolprop (www.coolprop.org)
Temperature (K)	Density(kg/m^3)

100	2.42825
110	2.20679
120	2.02245
130	1.86659
140	1.73308
150	1.61742
160	1.51625
170	1.427
180	1.34769
190	1.27674
200	1.21289
210	1.15512
220	1.10262
230	1.05468
240	1.01073
250	0.970309
260	0.932994
270	0.898444
280	0.866363
290	0.836494
300	0.808617
310	0.782539
320	0.75809
330	0.735123
340	0.713508
350	0.693127
360	0.673879
370	0.655671
380	0.638421
390	0.622056
400	0.606509
410	0.59172
420	0.577635
430	0.564206
440	0.551386
450	0.539137
460	0.52742
470	0.516201
480	0.50545
490	0.495137
500	0.485237
510	0.475726
520	0.466579
530	0.457778
540	0.449303
550	0.441136
560	0.433261
570	0.425662
580	0.418325
590	0.411236
600	0.404384
610	0.397757
620	0.391343
630	0.385132
640	0.379116
650	0.373285
660	0.367631
670	0.362145
680	0.35682
690	0.35165
700	0.346628
710	0.341747
720	0.337002
730	0.332386
740	0.327895
750	0.323524
760	0.319269
770	0.315123
780	0.311084
790	0.307147
800	0.303308
810	0.299565
820	0.295912
830	0.292348
840	0.288868
850	0.28547
860	0.282152
870	0.278909
880	0.27574
890	0.272643
900	0.269614
910	0.266652
920	0.263754
930	0.260918
940	0.258143
950	0.255426
960	0.252766
970	0.250161
980	0.247608
990	0.245108
1000	0.242657
