Data from Coolprop (www.coolprop.org).
Temperature(K)	Density (kg/m^3)

100	3.5578
110	3.21729
120	2.93847
130	2.70539
140	2.50733
150	2.33677
160	2.18825
170	2.0577
180	1.94201
190	1.83874
200	1.74598
210	1.66219
220	1.58612
230	1.51675
240	1.45321
250	1.39481
260	1.34094
270	1.29109
280	1.24482
290	1.20177
300	1.1616
310	1.12404
320	1.08883
330	1.05577
340	1.02466
350	0.995337
360	0.967648
370	0.941459
380	0.916653
390	0.893123
400	0.870772
410	0.849514
420	0.82927
430	0.80997
440	0.791548
450	0.773947
460	0.757113
470	0.740995
480	0.725551
490	0.710737
500	0.696517
510	0.682855
520	0.66972
530	0.65708
540	0.644909
550	0.633181
560	0.621872
570	0.610961
580	0.600425
590	0.590248
600	0.580409
610	0.570894
620	0.561685
630	0.55277
640	0.544132
650	0.535761
660	0.527644
670	0.519769
680	0.512125
690	0.504703
700	0.497494
710	0.490487
720	0.483676
730	0.477051
740	0.470605
750	0.46433
760	0.458222
770	0.452271
780	0.446474
790	0.440823
800	0.435313
810	0.42994
820	0.424697
830	0.419581
840	0.414587
850	0.40971
860	0.404947
870	0.400293
880	0.395745
890	0.3913
900	0.386953
910	0.382701
920	0.378542
930	0.374472
940	0.370489
950	0.36659
960	0.362772
970	0.359033
980	0.35537
990	0.351781
1000	0.348264
