Data from Coolprop (www.coolprop.org)
Temperature(K)	Density(kg/m^3)

100	3.43664
110	3.10894
120	2.84014
130	2.6152
140	2.42395
150	2.25919
160	2.11569
170	1.98953
180	1.87772
190	1.7779
200	1.68824
210	1.60724
220	1.53371
230	1.46664
240	1.40522
250	1.34875
260	1.29667
270	1.24847
280	1.20374
290	1.16212
300	1.12328
310	1.08696
320	1.05292
330	1.02095
340	0.990876
350	0.962522
360	0.935748
370	0.910426
380	0.88644
390	0.863688
400	0.842076
410	0.82152
420	0.801945
430	0.783283
440	0.76547
450	0.74845
460	0.732172
470	0.716587
480	0.701652
490	0.687328
500	0.673577
510	0.660366
520	0.647664
530	0.635442
540	0.623672
550	0.612331
560	0.601396
570	0.590844
580	0.580656
590	0.570814
600	0.561301
610	0.552099
620	0.543194
630	0.534572
640	0.52622
650	0.518125
660	0.510275
670	0.502659
680	0.495268
690	0.488091
700	0.481119
710	0.474344
720	0.467756
730	0.46135
740	0.455116
750	0.449049
760	0.443141
770	0.437387
780	0.431781
790	0.426316
800	0.420988
810	0.415791
820	0.410722
830	0.405774
840	0.400945
850	0.396229
860	0.391622
870	0.387122
880	0.382724
890	0.378424
900	0.37422
910	0.370109
920	0.366087
930	0.362151
940	0.3583
950	0.354529
960	0.350837
970	0.347221
980	0.343678
990	0.340208
1000	0.336806
