Data from Coolprop (www.coolprop.org)
Temperature(K)	Specific heat capacity(J/kg/K)

100	1071.35
110	1062.66
120	1057.03
130	1053.18
140	1050.45
150	1048.43
160	1046.9
170	1045.72
180	1044.79
190	1044.05
200	1043.44
210	1042.95
220	1042.54
230	1042.21
240	1041.94
250	1041.72
260	1041.54
270	1041.42
280	1041.34
290	1041.32
300	1041.33
310	1041.41
320	1041.53
330	1041.72
340	1041.97
350	1042.28
360	1042.66
370	1043.12
380	1043.65
390	1044.26
400	1044.95
410	1045.72
420	1046.58
430	1047.52
440	1048.54
450	1049.65
460	1050.84
470	1052.12
480	1053.47
490	1054.91
500	1056.42
510	1058.01
520	1059.66
530	1061.39
540	1063.18
550	1065.04
560	1066.95
570	1068.92
580	1070.94
590	1073.01
600	1075.13
610	1077.29
620	1079.49
630	1081.72
640	1083.98
650	1086.28
660	1088.6
670	1090.94
680	1093.3
690	1095.68
700	1098.08
710	1100.48
720	1102.9
730	1105.32
740	1107.74
750	1110.17
760	1112.6
770	1115.03
780	1117.45
790	1119.87
800	1122.28
810	1124.68
820	1127.08
830	1129.46
840	1131.83
850	1134.18
860	1136.53
870	1138.85
880	1141.16
890	1143.46
900	1145.73
910	1147.99
920	1150.23
930	1152.45
940	1154.65
950	1156.82
960	1158.98
970	1161.12
980	1163.23
990	1165.32
1000	1167.39
