Data from Coolprop (www.coolprop.org)
Temperature(K)	Density(kg/m^3)

196	733.302
197	732.152
198	731.003
199	729.853
200	728.703
201	727.553
202	726.402
203	725.25
204	724.097
205	722.944
206	721.79
207	720.635
208	719.479
209	718.321
210	717.163
211	716.002
212	714.841
213	713.678
214	712.513
215	711.347
216	710.178
217	709.008
218	707.836
219	706.662
220	705.486
221	704.308
222	703.128
223	701.945
224	700.76
225	699.572
226	698.382
227	697.19
228	695.995
229	694.797
230	693.597
231	692.394
232	691.187
233	689.978
234	688.767
235	687.552
236	686.334
237	685.112
238	683.888
239	682.661
240	0.877308
241	0.873181
242	0.869101
243	0.865069
244	0.861082
245	0.85714
246	0.853242
247	0.849387
248	0.845574
249	0.841802
250	0.83807
251	0.834377
252	0.830723
253	0.827107
254	0.823529
255	0.819986
256	0.816479
257	0.813008
258	0.809571
259	0.806167
260	0.802797
261	0.799459
262	0.796153
263	0.792879
264	0.789635
265	0.786422
266	0.783238
267	0.780084
268	0.776958
269	0.773861
270	0.770792
271	0.76775
272	0.764735
273	0.761747
274	0.758784
275	0.755848
276	0.752936
277	0.75005
278	0.747188
279	0.74435
280	0.741536
281	0.738745
282	0.735978
283	0.733233
284	0.73051
285	0.72781
286	0.725132
287	0.722475
288	0.719839
289	0.717224
290	0.714629
291	0.712055
292	0.709501
293	0.706967
294	0.704452
295	0.701957
296	0.69948
297	0.697022
298	0.694583
299	0.692162
300	0.689759
301	0.687374
302	0.685006
303	0.682656
304	0.680323
305	0.678007
306	0.675707
307	0.673425
308	0.671158
309	0.668908
310	0.666673
311	0.664454
312	0.662251
313	0.660063
314	0.657891
315	0.655733
316	0.653591
317	0.651463
318	0.649349
319	0.64725
320	0.645165
321	0.643094
322	0.641037
323	0.638994
324	0.636964
325	0.634948
326	0.632945
327	0.630955
328	0.628979
329	0.627015
330	0.625064
331	0.623125
332	0.621199
333	0.619285
334	0.617384
335	0.615495
336	0.613617
337	0.611752
338	0.609898
339	0.608055
340	0.606225
341	0.604405
342	0.602597
343	0.6008
344	0.599014
345	0.597239
346	0.595475
347	0.593722
348	0.591979
349	0.590247
350	0.588525
351	0.586813
352	0.585112
353	0.583421
354	0.58174
355	0.580068
356	0.578407
357	0.576755
358	0.575114
359	0.573481
360	0.571858
361	0.570245
362	0.568641
363	0.567046
364	0.56546
365	0.563883
366	0.562315
367	0.560756
368	0.559206
369	0.557665
370	0.556132
371	0.554608
372	0.553093
373	0.551586
374	0.550087
375	0.548597
376	0.547115
377	0.545641
378	0.544175
379	0.542717
380	0.541267
381	0.539825
382	0.538391
383	0.536964
384	0.535545
385	0.534134
386	0.53273
387	0.531334
388	0.529946
389	0.528564
390	0.52719
391	0.525823
392	0.524464
393	0.523112
394	0.521766
395	0.520428
396	0.519096
397	0.517772
398	0.516454
399	0.515144
400	0.51384
401	0.512542
402	0.511252
403	0.509967
404	0.50869
405	0.507419
406	0.506154
407	0.504896
408	0.503644
409	0.502398
410	0.501159
411	0.499925
412	0.498698
413	0.497477
414	0.496262
415	0.495053
416	0.49385
417	0.492653
418	0.491462
419	0.490277
420	0.489097
421	0.487923
422	0.486755
423	0.485592
424	0.484436
425	0.483284
426	0.482138
427	0.480998
428	0.479863
429	0.478734
430	0.47761
431	0.476491
432	0.475377
433	0.474269
434	0.473166
435	0.472068
436	0.470975
437	0.469888
438	0.468805
439	0.467728
440	0.466655
441	0.465588
442	0.464525
443	0.463468
444	0.462415
445	0.461367
446	0.460323
447	0.459285
448	0.458251
449	0.457222
450	0.456198
451	0.455178
452	0.454163
453	0.453152
454	0.452146
455	0.451144
456	0.450147
457	0.449154
458	0.448166
459	0.447182
460	0.446203
461	0.445228
462	0.444257
463	0.44329
464	0.442327
465	0.441369
466	0.440415
467	0.439465
468	0.43852
469	0.437578
470	0.43664
471	0.435707
472	0.434777
473	0.433852
474	0.43293
475	0.432012
476	0.431099
477	0.430189
478	0.429283
479	0.428381
480	0.427482
481	0.426588
482	0.425697
483	0.42481
484	0.423927
485	0.423047
486	0.422171
487	0.421299
488	0.42043
489	0.419565
490	0.418704
491	0.417846
492	0.416991
493	0.41614
494	0.415293
495	0.414449
496	0.413609
497	0.412771
498	0.411938
499	0.411108
500	0.410281
501	0.409457
502	0.408637
503	0.40782
504	0.407006
505	0.406196
506	0.405389
507	0.404585
508	0.403784
509	0.402986
510	0.402192
511	0.401401
512	0.400613
513	0.399828
514	0.399046
515	0.398267
516	0.397491
517	0.396718
518	0.395949
519	0.395182
520	0.394418
521	0.393657
522	0.3929
523	0.392145
524	0.391393
525	0.390644
526	0.389897
527	0.389154
528	0.388413
529	0.387676
530	0.386941
531	0.386209
532	0.385479
533	0.384753
534	0.384029
535	0.383308
536	0.38259
537	0.381874
538	0.381161
539	0.380451
540	0.379743
541	0.379038
542	0.378336
543	0.377636
544	0.376939
545	0.376244
546	0.375552
547	0.374863
548	0.374176
549	0.373492
550	0.37281
551	0.37213
552	0.371453
553	0.370779
554	0.370107
555	0.369438
556	0.36877
557	0.368106
558	0.367444
559	0.366784
560	0.366126
561	0.365471
562	0.364818
563	0.364168
564	0.36352
565	0.362874
566	0.36223
567	0.361589
568	0.36095
569	0.360313
570	0.359679
571	0.359047
572	0.358417
573	0.357789
574	0.357163
575	0.35654
576	0.355919
577	0.3553
578	0.354683
579	0.354068
580	0.353456
581	0.352845
582	0.352237
583	0.351631
584	0.351027
585	0.350425
586	0.349825
587	0.349227
588	0.348631
589	0.348037
590	0.347445
591	0.346855
592	0.346268
593	0.345682
594	0.345098
595	0.344516
596	0.343936
597	0.343358
598	0.342783
599	0.342208
600	0.341636
601	0.341066
602	0.340498
603	0.339932
604	0.339367
605	0.338804
606	0.338244
607	0.337685
608	0.337128
609	0.336573
610	0.336019
611	0.335468
612	0.334918
613	0.33437
614	0.333824
615	0.33328
616	0.332737
617	0.332196
618	0.331657
619	0.33112
620	0.330584
621	0.330051
622	0.329518
623	0.328988
624	0.328459
625	0.327933
626	0.327407
627	0.326884
628	0.326362
629	0.325842
630	0.325323
631	0.324806
632	0.324291
633	0.323777
634	0.323265
635	0.322755
636	0.322246
637	0.321739
638	0.321233
639	0.320729
640	0.320227
641	0.319726
642	0.319227
643	0.318729
644	0.318233
645	0.317739
646	0.317246
647	0.316754
648	0.316264
649	0.315776
650	0.315289
651	0.314803
652	0.314319
653	0.313837
654	0.313356
655	0.312876
656	0.312398
657	0.311922
658	0.311447
659	0.310973
660	0.310501
661	0.31003
662	0.309561
663	0.309093
664	0.308626
665	0.308161
666	0.307697
667	0.307235
668	0.306774
669	0.306315
670	0.305856
671	0.3054
672	0.304944
673	0.30449
674	0.304037
675	0.303586
676	0.303136
677	0.302687
678	0.30224
679	0.301794
680	0.301349
681	0.300906
682	0.300464
683	0.300023
684	0.299583
685	0.299145
686	0.298708
687	0.298273
688	0.297838
689	0.297405
690	0.296973
691	0.296543
692	0.296113
693	0.295685
694	0.295258
695	0.294833
696	0.294408
697	0.293985
698	0.293563
699	0.293142
700	0.292723
701	0.292305
702	0.291887
703	0.291471
704	0.291057
705	0.290643
706	0.290231
707	0.289819
708	0.289409
709	0.289
710	0.288593
711	0.288186
712	0.287781
713	0.287376
714	0.286973
715	0.286571
716	0.28617
717	0.28577
718	0.285372
719	0.284974
720	0.284578
721	0.284182
722	0.283788
723	0.283395
724	0.283003
725	0.282612
726	0.282222
727	0.281833
728	0.281445
729	0.281059
730	0.280673
731	0.280288
732	0.279905
733	0.279522
734	0.279141
735	0.278761
736	0.278381
737	0.278003
738	0.277626
739	0.277249
740	0.276874
741	0.2765
742	0.276127
743	0.275755
744	0.275383
745	0.275013
746	0.274644
747	0.274276
748	0.273909
749	0.273542
750	0.273177
751	0.272813
752	0.272449
753	0.272087
754	0.271726
755	0.271365
756	0.271006
757	0.270647
758	0.27029
759	0.269933
760	0.269577
761	0.269223
762	0.268869
763	0.268516
764	0.268164
765	0.267813
766	0.267463
767	0.267114
768	0.266766
769	0.266418
770	0.266072
771	0.265726
772	0.265381
773	0.265038
774	0.264695
775	0.264353
776	0.264012
777	0.263672
778	0.263332
779	0.262994
780	0.262656
781	0.262319
782	0.261983
783	0.261648
784	0.261314
785	0.260981
786	0.260649
787	0.260317
788	0.259986
789	0.259656
790	0.259327
791	0.258999
792	0.258671
793	0.258345
794	0.258019
795	0.257694
796	0.25737
797	0.257047
798	0.256724
799	0.256403
800	0.256082
801	0.255762
802	0.255442
803	0.255124
804	0.254806
805	0.254489
806	0.254173
807	0.253858
808	0.253543
809	0.253229
810	0.252917
811	0.252604
812	0.252293
813	0.251982
814	0.251672
815	0.251363
816	0.251055
817	0.250747
818	0.25044
819	0.250134
820	0.249829
821	0.249524
822	0.24922
823	0.248917
824	0.248615
825	0.248313
826	0.248012
827	0.247712
828	0.247412
829	0.247114
830	0.246816
831	0.246518
832	0.246222
833	0.245926
834	0.245631
835	0.245336
836	0.245042
837	0.244749
838	0.244457
839	0.244165
840	0.243874
841	0.243584
842	0.243294
843	0.243006
844	0.242717
845	0.24243
846	0.242143
847	0.241857
848	0.241571
849	0.241286
850	0.241002
851	0.240719
852	0.240436
853	0.240154
854	0.239872
855	0.239592
856	0.239311
857	0.239032
858	0.238753
859	0.238475
860	0.238197
861	0.23792
862	0.237644
863	0.237369
864	0.237094
865	0.236819
866	0.236545
867	0.236272
868	0.236
869	0.235728
870	0.235457
871	0.235186
872	0.234916
873	0.234647
874	0.234378
875	0.23411
876	0.233843
877	0.233576
878	0.23331
879	0.233044
880	0.232779
881	0.232515
882	0.232251
883	0.231987
884	0.231725
885	0.231463
886	0.231201
887	0.23094
888	0.23068
889	0.23042
890	0.230161
891	0.229903
892	0.229645
893	0.229387
894	0.229131
895	0.228874
896	0.228619
897	0.228364
898	0.228109
899	0.227855
900	0.227602
901	0.227349
902	0.227097
903	0.226845
904	0.226594
905	0.226343
906	0.226093
907	0.225844
908	0.225595
909	0.225347
910	0.225099
911	0.224851
912	0.224605
913	0.224359
914	0.224113
915	0.223868
916	0.223623
917	0.223379
918	0.223136
919	0.222893
920	0.22265
921	0.222408
922	0.222167
923	0.221926
924	0.221686
925	0.221446
926	0.221206
927	0.220968
928	0.220729
929	0.220492
930	0.220254
931	0.220018
932	0.219781
933	0.219546
934	0.21931
935	0.219076
936	0.218841
937	0.218608
938	0.218375
939	0.218142
940	0.21791
941	0.217678
942	0.217447
943	0.217216
944	0.216986
945	0.216756
946	0.216527
947	0.216298
948	0.216069
949	0.215842
950	0.215614
951	0.215387
952	0.215161
953	0.214935
954	0.21471
955	0.214485
956	0.21426
957	0.214036
958	0.213813
959	0.213589
960	0.213367
961	0.213145
962	0.212923
963	0.212702
964	0.212481
965	0.212261
966	0.212041
967	0.211821
968	0.211602
969	0.211384
970	0.211166
971	0.210948
972	0.210731
973	0.210514
974	0.210298
975	0.210082
976	0.209867
977	0.209652
978	0.209437
979	0.209223
980	0.20901
981	0.208797
982	0.208584
983	0.208371
984	0.20816
985	0.207948
986	0.207737
987	0.207527
988	0.207316
989	0.207107
990	0.206897
991	0.206688
992	0.20648
993	0.206272
994	0.206064
995	0.205857
996	0.20565
997	0.205444
998	0.205238
999	0.205032
1000	0.204827
