Data from Coolprop (www.coolprop.org)
Temperature(K)	Density(kg/m^3)

160	907.958
170	897.622
180	887.933
190	878.612
200	869.528
210	860.612
220	851.827
230	843.149
240	834.555
250	826.026
260	817.541
270	809.079
280	800.612
290	792.111
300	783.539
310	774.855
320	766.013
330	756.958
340	747.631
350	737.964
350.1	737.865
350.2	737.766
350.3	737.668
350.4	737.569
350.5	737.47
350.6	737.371
350.7	737.272
350.8	737.173
350.9	737.074
351	736.975
351.1	736.876
351.2	736.777
351.3	1.62966
351.4	1.62912
351.5	1.62858
351.6	1.62804
351.7	1.62749
351.8	1.62695
351.9	1.62641
352	1.62587
352.1	1.62533
352.2	1.62479
352.3	1.62425
352.4	1.62372
352.5	1.62318
352.6	1.62264
352.7	1.6221
352.8	1.62157
352.9	1.62103
353	1.6205
353.1	1.61996
353.2	1.61943
353.3	1.61889
353.4	1.61836
353.5	1.61782
353.6	1.61729
353.7	1.61676
353.8	1.61623
353.9	1.61569
354	1.61516
354.1	1.61463
354.2	1.6141
354.3	1.61357
354.4	1.61304
354.5	1.61251
354.6	1.61198
354.7	1.61146
354.8	1.61093
354.9	1.6104
355	1.60987
355.1	1.60935
355.2	1.60882
355.3	1.6083
355.4	1.60777
355.5	1.60725
355.6	1.60672
355.7	1.6062
355.8	1.60567
355.9	1.60515
356	1.60463
356.1	1.60411
356.2	1.60358
356.3	1.60306
356.4	1.60254
356.5	1.60202
356.6	1.6015
356.7	1.60098
356.8	1.60046
356.9	1.59994
357	1.59943
357.1	1.59891
357.2	1.59839
357.3	1.59787
357.4	1.59736
357.5	1.59684
357.6	1.59632
357.7	1.59581
357.8	1.59529
357.9	1.59478
358	1.59426
358.1	1.59375
358.2	1.59324
358.3	1.59272
358.4	1.59221
358.5	1.5917
358.6	1.59119
358.7	1.59068
358.8	1.59017
358.9	1.58966
359	1.58914
359.1	1.58864
359.2	1.58813
359.3	1.58762
359.4	1.58711
359.5	1.5866
359.6	1.58609
359.7	1.58559
359.8	1.58508
359.9	1.58457
360	1.58407
370	1.53539
380	1.4902
390	1.44806
400	1.4086
410	1.37153
420	1.33661
430	1.30361
440	1.27237
450	1.24273
460	1.21454
470	1.1877
480	1.1621
490	1.13765
500	1.11425
510	1.09185
520	1.07037
530	1.04975
540	1.02994
550	1.01089
560	0.992555
570	0.974889
580	0.957858
590	0.941425
600	0.925558
610	0.910228
620	0.895406
630	0.881068
640	0.867189
650	0.853746
660	0.840719
670	0.828089
680	0.815837
690	0.803946
700	0.7924
710	0.781183
720	0.770283
730	0.759685
740	0.749377
750	0.739347
760	0.729584
770	0.720077
780	0.710816
790	0.701791
800	0.692993
810	0.684415
820	0.676047
830	0.667883
840	0.659914
850	0.652133
860	0.644535
870	0.637112
880	0.629859
890	0.62277
900	0.615838
910	0.60906
920	0.60243
930	0.595943
940	0.589595
950	0.58338
960	0.577296
970	0.571338
980	0.565501
990	0.559783
1000	0.554179
