Data from Coolprop (www.coolprop.org)
Temperature(K)	Specific heat capacity(J/kg/K)

160	1804.65
170	1879.92
180	1918.13
190	1937.89
200	1953.58
210	1973.38
220	2000.55
230	2035.45
240	2077.26
250	2125.1
260	2178.47
270	2237.35
280	2301.95
290	2372.5
300	2449.11
310	2531.66
320	2619.83
330	2713.2
340	2811.48
350	2914.63
350.1	2915.69
350.2	2916.75
350.3	2917.81
350.4	2918.86
350.5	2919.92
350.6	2920.98
350.7	2922.04
350.8	2923.1
350.9	2924.17
351	2925.23
351.1	2926.29
351.2	2927.35
351.3	1716.43
351.4	1716.59
351.5	1716.75
351.6	1716.92
351.7	1717.08
351.8	1717.24
351.9	1717.41
352	1717.57
352.1	1717.73
352.2	1717.9
352.3	1718.06
352.4	1718.23
352.5	1718.39
352.6	1718.56
352.7	1718.73
352.8	1718.89
352.9	1719.06
353	1719.23
353.1	1719.39
353.2	1719.56
353.3	1719.73
353.4	1719.9
353.5	1720.07
353.6	1720.24
353.7	1720.41
353.8	1720.58
353.9	1720.75
354	1720.92
354.1	1721.09
354.2	1721.26
354.3	1721.43
354.4	1721.61
354.5	1721.78
354.6	1721.95
354.7	1722.12
354.8	1722.3
354.9	1722.47
355	1722.64
355.1	1722.82
355.2	1722.99
355.3	1723.17
355.4	1723.34
355.5	1723.52
355.6	1723.7
355.7	1723.87
355.8	1724.05
355.9	1724.23
356	1724.4
356.1	1724.58
356.2	1724.76
356.3	1724.94
356.4	1725.12
356.5	1725.29
356.6	1725.47
356.7	1725.65
356.8	1725.83
356.9	1726.01
357	1726.19
357.1	1726.37
357.2	1726.56
357.3	1726.74
357.4	1726.92
357.5	1727.1
357.6	1727.28
357.7	1727.46
357.8	1727.65
357.9	1727.83
358	1728.01
358.1	1728.2
358.2	1728.38
358.3	1728.57
358.4	1728.75
358.5	1728.94
358.6	1729.12
358.7	1729.31
358.8	1729.49
358.9	1729.68
359	1729.87
359.1	1730.05
359.2	1730.24
359.3	1730.43
359.4	1730.61
359.5	1730.8
359.6	1730.99
359.7	1731.18
359.8	1731.37
359.9	1731.56
360	1731.75
370	1751.99
380	1774.42
390	1798.49
400	1823.79
410	1850.02
420	1876.92
430	1904.29
440	1931.96
450	1959.81
460	1987.72
470	2015.61
480	2043.42
490	2071.07
500	2098.53
510	2125.77
520	2152.74
530	2179.42
540	2205.81
550	2231.87
560	2257.61
570	2283.02
580	2308.09
590	2332.81
600	2357.2
610	2381.24
620	2404.94
630	2428.31
640	2451.34
650	2474.05
660	2496.42
670	2518.48
680	2540.23
690	2561.66
700	2582.79
710	2603.62
720	2624.15
730	2644.4
740	2664.36
750	2684.04
760	2703.45
770	2722.59
780	2741.46
790	2760.07
800	2778.43
810	2796.54
820	2814.39
830	2832.01
840	2849.39
850	2866.53
860	2883.43
870	2900.11
880	2916.57
890	2932.8
900	2948.82
910	2964.62
920	2980.2
930	2995.58
940	3010.75
950	3025.72
960	3040.49
970	3055.06
980	3069.44
990	3083.62
1000	3097.62
