Data from Coolprop (www.coolprop.org)
Temperature(K)	Thermal conductivity(W/m/K)

160	0.22005
170	0.212227
180	0.205588
190	0.199758
200	0.194548
210	0.189857
220	0.185618
230	0.181782
240	0.178307
250	0.175158
260	0.1723
270	0.169699
280	0.167325
290	0.165147
300	0.163135
310	0.16126
320	0.159493
330	0.157807
340	0.156178
350	0.154581
350.1	0.154565
350.2	0.154549
350.3	0.154533
350.4	0.154517
350.5	0.154501
350.6	0.154485
350.7	0.15447
350.8	0.154454
350.9	0.154438
351	0.154422
351.1	0.154406
351.2	0.15439
351.3	0.0206883
351.4	0.0206987
351.5	0.0207092
351.6	0.0207196
351.7	0.0207301
351.8	0.0207405
351.9	0.020751
352	0.0207614
352.1	0.0207719
352.2	0.0207824
352.3	0.0207928
352.4	0.0208033
352.5	0.0208138
352.6	0.0208242
352.7	0.0208347
352.8	0.0208452
352.9	0.0208557
353	0.0208661
353.1	0.0208766
353.2	0.0208871
353.3	0.0208976
353.4	0.0209081
353.5	0.0209186
353.6	0.0209291
353.7	0.0209396
353.8	0.0209501
353.9	0.0209606
354	0.0209711
354.1	0.0209816
354.2	0.0209921
354.3	0.0210026
354.4	0.0210131
354.5	0.0210236
354.6	0.0210341
354.7	0.0210446
354.8	0.0210552
354.9	0.0210657
355	0.0210762
355.1	0.0210867
355.2	0.0210973
355.3	0.0211078
355.4	0.0211183
355.5	0.0211289
355.6	0.0211394
355.7	0.0211499
355.8	0.0211605
355.9	0.021171
356	0.0211816
356.1	0.0211921
356.2	0.0212027
356.3	0.0212132
356.4	0.0212238
356.5	0.0212343
356.6	0.0212449
356.7	0.0212555
356.8	0.021266
356.9	0.0212766
357	0.0212872
357.1	0.0212977
357.2	0.0213083
357.3	0.0213189
357.4	0.0213295
357.5	0.02134
357.6	0.0213506
357.7	0.0213612
357.8	0.0213718
357.9	0.0213824
358	0.021393
358.1	0.0214036
358.2	0.0214142
358.3	0.0214248
358.4	0.0214354
358.5	0.021446
358.6	0.0214566
358.7	0.0214672
358.8	0.0214778
358.9	0.0214884
359	0.021499
359.1	0.0215096
359.2	0.0215202
359.3	0.0215308
359.4	0.0215415
359.5	0.0215521
359.6	0.0215627
359.7	0.0215733
359.8	0.021584
359.9	0.0215946
360	0.0216052
370	0.0226793
380	0.0237734
390	0.0248864
400	0.026017
410	0.0271641
420	0.0283266
430	0.0295034
440	0.0306937
450	0.0318963
460	0.0331106
470	0.0343356
480	0.0355707
490	0.036815
500	0.0380679
510	0.0393288
520	0.0405971
530	0.0418721
540	0.0431534
550	0.0444405
560	0.0457328
570	0.0470299
580	0.0483315
590	0.0496371
600	0.0509463
610	0.0522588
620	0.0535743
630	0.0548924
640	0.0562129
650	0.0575354
660	0.0588598
670	0.0601856
680	0.0615128
690	0.0628411
700	0.0641703
710	0.0655001
720	0.0668304
730	0.068161
740	0.0694917
750	0.0708223
760	0.0721527
770	0.0734828
780	0.0748124
790	0.0761413
800	0.0774695
810	0.0787967
820	0.0801229
830	0.081448
840	0.0827718
850	0.0840943
860	0.0854153
870	0.0867348
880	0.0880526
890	0.0893686
900	0.0906829
910	0.0919952
920	0.0933055
930	0.0946137
940	0.0959198
950	0.0972236
960	0.0985251
970	0.0998243
980	0.101121
990	0.102415
1000	0.103707
