Data from CoolProp (www.coolprop.org).
Temperature (K)	Density (kg/m^3)

180	911.587
190	900.768
200	890.05
210	879.404
220	868.801
230	858.218
240	847.627
250	837.007
260	826.334
270	815.584
280	804.733
290	793.757
300	782.628
310	771.318
320	759.796
320.1	759.679
320.2	759.563
320.3	759.446
320.4	759.33
320.5	759.213
320.6	759.097
320.7	758.98
320.8	758.864
320.9	758.747
321	758.63
321.1	758.514
321.2	758.397
321.3	758.28
321.4	758.164
321.5	758.047
321.6	757.93
321.7	757.813
321.8	757.696
321.9	757.58
322	757.463
322.1	757.346
322.2	757.229
322.3	757.112
322.4	756.995
322.5	756.878
322.6	756.761
322.7	756.644
322.8	756.527
322.9	756.41
323	756.292
323.1	756.175
323.2	756.058
323.3	755.941
323.4	755.824
323.5	755.706
323.6	755.589
323.7	755.472
323.8	755.354
323.9	755.237
324	755.12
324.1	755.002
324.2	754.885
324.3	754.767
324.4	754.65
324.5	754.532
324.6	754.415
324.7	754.297
324.8	754.179
324.9	754.062
325	753.944
325.1	753.826
325.2	753.709
325.3	753.591
325.4	753.473
325.5	753.355
325.6	753.237
325.7	753.12
325.8	753.002
325.9	752.884
326	752.766
326.1	752.648
326.2	752.53
326.3	752.412
326.4	752.294
326.5	752.176
326.6	752.058
326.7	751.94
326.8	751.821
326.9	751.703
327	751.585
327.1	751.467
327.2	751.348
327.3	751.23
327.4	751.112
327.5	750.994
327.6	750.875
327.7	750.757
327.8	750.638
327.9	750.52
328	750.401
328.1	750.283
328.2	750.164
328.3	750.046
328.4	749.927
328.5	749.808
328.6	749.69
328.7	749.571
328.8	749.452
328.9	2.2393
329	2.23842
329.1	2.23755
329.2	2.23668
329.3	2.23581
329.4	2.23494
329.5	2.23407
329.6	2.2332
329.7	2.23233
329.8	2.23147
329.9	2.2306
330	2.22974
340	2.14796
350	2.07411
360	2.00671
370	1.94467
380	1.8872
390	1.83367
400	1.78357
410	1.73653
420	1.69219
430	1.65031
440	1.61064
450	1.57298
460	1.53717
470	1.50306
480	1.47052
490	1.43942
500	1.40968
510	1.38119
520	1.35387
530	1.32764
540	1.30245
550	1.27822
560	1.2549
570	1.23244
580	1.21078
590	1.18989
600	1.16972
610	1.15024
620	1.1314
630	1.11318
640	1.09555
650	1.07848
660	1.06194
670	1.0459
680	1.03034
690	1.01525
700	1.0006
710	0.986368
720	0.97254
730	0.959098
740	0.946026
750	0.933308
760	0.920931
770	0.90888
780	0.897143
790	0.885707
800	0.874561
810	0.863694
820	0.853095
830	0.842755
840	0.832664
850	0.822814
860	0.813195
870	0.803799
880	0.794619
890	0.785648
900	0.776878
910	0.768302
920	0.759915
930	0.751709
940	0.74368
950	0.735821
960	0.728127
970	0.720593
980	0.713214
990	0.705985
1000	0.698901
