Data from Coolprop (www.coolprop.org)
Temperature(K)	Density(kg/m^3)

280	999.91
290	998.803
300	996.556
310	993.383
320	989.426
330	984.786
340	979.535
350	973.728
360	967.403
370	960.591
370.1	960.521
370.2	960.45
370.3	960.38
370.4	960.309
370.5	960.238
370.6	960.168
370.7	960.097
370.8	960.026
370.9	959.955
371	959.884
371.1	959.813
371.2	959.742
371.3	959.671
371.4	959.6
371.5	959.529
371.6	959.458
371.7	959.387
371.8	959.315
371.9	959.244
372	959.173
372.1	959.101
372.2	959.03
372.3	958.958
372.4	958.887
372.5	958.815
372.6	958.743
372.7	958.672
372.8	0.590268
372.9	0.590097
373	0.589926
373.1	0.589755
373.2	0.589584
373.3	0.589413
373.4	0.589243
373.5	0.589072
373.6	0.588902
373.7	0.588731
373.8	0.588561
373.9	0.588391
374	0.588221
374.1	0.588051
374.2	0.587881
374.3	0.587712
374.4	0.587542
374.5	0.587373
374.6	0.587204
374.7	0.587035
374.8	0.586866
374.9	0.586697
380	0.578235
390	0.562445
400	0.547605
410	0.533611
420	0.520378
430	0.507835
440	0.495921
450	0.484584
460	0.473779
470	0.463466
480	0.453609
490	0.444177
500	0.43514
510	0.426473
520	0.418153
530	0.410159
540	0.40247
550	0.395069
560	0.38794
570	0.381068
580	0.374438
590	0.368037
600	0.361855
610	0.355878
620	0.350098
630	0.344505
640	0.339089
650	0.333842
660	0.328756
670	0.323824
680	0.319038
690	0.314393
700	0.309882
710	0.305499
720	0.30124
730	0.297098
740	0.293068
750	0.289148
760	0.285331
770	0.281614
780	0.277993
790	0.274464
800	0.271024
810	0.267669
820	0.264397
830	0.261204
840	0.258088
850	0.255045
860	0.252073
870	0.24917
880	0.246333
890	0.24356
900	0.240849
910	0.238198
920	0.235605
930	0.233067
940	0.230584
950	0.228154
960	0.225774
970	0.223443
980	0.22116
990	0.218923
1000	0.216731
