Data from Coolprop (www.coolprop.org)
Temperature(K)	Specific heat capacity(J/kg/K)

280	4200.94
290	4186.6
300	4180.64
310	4179.24
320	4180.54
330	4183.65
340	4188.3
350	4194.47
360	4202.34
370	4212.15
370.1	4212.25
370.2	4212.36
370.3	4212.47
370.4	4212.58
370.5	4212.69
370.6	4212.8
370.7	4212.91
370.8	4213.02
370.9	4213.13
371	4213.24
371.1	4213.35
371.2	4213.46
371.3	4213.58
371.4	4213.69
371.5	4213.8
371.6	4213.91
371.7	4214.02
371.8	4214.14
371.9	4214.25
372	4214.36
372.1	4214.48
372.2	4214.59
372.3	4214.7
372.4	4214.82
372.5	4214.93
372.6	4215.04
372.7	4215.16
372.8	2078.24
372.9	2077.77
373	2077.31
373.1	2076.85
373.2	2076.39
373.3	2075.93
373.4	2075.48
373.5	2075.03
373.6	2074.58
373.7	2074.13
373.8	2073.69
373.9	2073.25
374	2072.82
374.1	2072.38
374.2	2071.95
374.3	2071.52
374.4	2071.1
374.5	2070.67
374.6	2070.25
374.7	2069.83
374.8	2069.42
374.9	2069
380	2050.69
390	2025.2
400	2007.76
410	1995.42
420	1986.76
430	1980.89
440	1977.19
450	1975.2
460	1974.58
470	1975.06
480	1976.44
490	1978.54
500	1981.26
510	1984.48
520	1988.12
530	1992.12
540	1996.43
550	2001
560	2005.8
570	2010.8
580	2015.98
590	2021.3
600	2026.77
610	2032.35
620	2038.05
630	2043.85
640	2049.74
650	2055.72
660	2061.78
670	2067.9
680	2074.1
690	2080.36
700	2086.68
710	2093.06
720	2099.48
730	2105.96
740	2112.49
750	2119.06
760	2125.68
770	2132.34
780	2139.03
790	2145.76
800	2152.53
810	2159.33
820	2166.16
830	2173.01
840	2179.9
850	2186.8
860	2193.73
870	2200.68
880	2207.65
890	2214.64
900	2221.64
910	2228.66
920	2235.68
930	2242.72
940	2249.76
950	2256.81
960	2263.87
970	2270.92
980	2277.98
990	2285.04
1000	2292.09
