Data from Coolprop (www.coolprop.org)
Temperature(K)	Thermal conductivity(W/m/K)

280	0.57198
290	0.592297
300	0.609499
310	0.624269
320	0.636995
330	0.647911
340	0.657167
350	0.664873
360	0.671114
370	0.675961
370.1	0.676003
370.2	0.676044
370.3	0.676086
370.4	0.676127
370.5	0.676168
370.6	0.676209
370.7	0.67625
370.8	0.676291
370.9	0.676331
371	0.676372
371.1	0.676412
371.2	0.676452
371.3	0.676492
371.4	0.676532
371.5	0.676572
371.6	0.676612
371.7	0.676651
371.8	0.676691
371.9	0.67673
372	0.676769
372.1	0.676808
372.2	0.676847
372.3	0.676886
372.4	0.676924
372.5	0.676963
372.6	0.677001
372.7	0.677039
372.8	0.0245353
372.9	0.0245436
373	0.0245519
373.1	0.0245602
373.2	0.0245684
373.3	0.0245767
373.4	0.024585
373.5	0.0245933
373.6	0.0246016
373.7	0.0246098
373.8	0.0246181
373.9	0.0246264
374	0.0246347
374.1	0.024643
374.2	0.0246513
374.3	0.0246595
374.4	0.0246678
374.5	0.0246761
374.6	0.0246844
374.7	0.0246927
374.8	0.024701
374.9	0.0247093
380	0.0251336
390	0.0259736
400	0.026825
410	0.0276885
420	0.0285645
430	0.0294532
440	0.0303549
450	0.0312694
460	0.0321967
470	0.0331368
480	0.0340895
490	0.0350546
500	0.0360318
510	0.0370211
520	0.038022
530	0.0390345
540	0.0400583
550	0.041093
560	0.0421386
570	0.0431947
580	0.0442611
590	0.0453376
600	0.0464239
610	0.0475199
620	0.0486252
630	0.0497398
640	0.0508633
650	0.0519956
660	0.0531365
670	0.0542857
680	0.0554431
690	0.0566085
700	0.0577818
710	0.0589627
720	0.060151
730	0.0613467
740	0.0625495
750	0.0637593
760	0.0649759
770	0.0661992
780	0.067429
790	0.0686652
800	0.0699077
810	0.0711562
820	0.0724107
830	0.0736711
840	0.0749371
850	0.0762088
860	0.0774859
870	0.0787684
880	0.0800561
890	0.0813489
900	0.0826467
910	0.0839494
920	0.0852569
930	0.086569
940	0.0878858
950	0.089207
960	0.0905326
970	0.0918625
980	0.0931966
990	0.0945348
1000	0.095877
